period,date,region,trust_name,ae_type,total_attendances,within_4hrs,breaches_over_4hrs,pct_within_4hrs,emergency_admissions,avg_wait_minutes,over_12hr_waits
2021-01,2021-01-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 3 - Minor Injuries,1898,1274,624,67.1,567,192,0
2021-01,2021-01-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 1 - Major A&E,10456,6114,4342,58.5,3008,219,112
2021-01,2021-01-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 2 - Specialist,906,539,367,59.4,169,257,0
2021-01,2021-01-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 3 - Minor Injuries,1304,1011,293,77.5,355,159,0
2021-01,2021-01-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 1 - Major A&E,9806,6785,3021,69.2,1499,167,41
2021-01,2021-01-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 2 - Specialist,3131,2572,559,82.1,766,102,0
2021-01,2021-01-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 3 - Minor Injuries,2717,1808,909,66.5,643,192,0
2021-01,2021-01-01,South West,University Hospitals Bristol,Type 1 - Major A&E,8070,5617,2453,69.6,1815,209,343
2021-01,2021-01-01,South West,University Hospitals Bristol,Type 2 - Specialist,1974,1410,564,71.4,323,195,0
2021-01,2021-01-01,South West,University Hospitals Bristol,Type 3 - Minor Injuries,2424,1872,552,77.2,642,155,0
2021-01,2021-01-01,South West,Royal Devon University Healthcare,Type 1 - Major A&E,13604,9500,4104,69.8,4602,153,505
2021-01,2021-01-01,South West,Royal Devon University Healthcare,Type 2 - Specialist,1573,913,660,58.0,267,223,0
2021-01,2021-01-01,South West,Royal Devon University Healthcare,Type 3 - Minor Injuries,3325,2366,959,71.2,710,168,0
2021-01,2021-01-01,South West,Plymouth Hospitals NHS Trust,Type 1 - Major A&E,11382,7285,4097,64.0,3284,235,386
2021-01,2021-01-01,South West,Plymouth Hospitals NHS Trust,Type 2 - Specialist,789,576,213,73.0,204,168,0
2021-01,2021-01-01,South West,Plymouth Hospitals NHS Trust,Type 3 - Minor Injuries,2719,2036,683,74.9,477,168,0
2021-01,2021-01-01,East of England,Cambridge University Hospitals,Type 1 - Major A&E,4567,3915,652,85.7,1076,67,72
2021-01,2021-01-01,East of England,Cambridge University Hospitals,Type 2 - Specialist,2970,2419,551,81.4,936,102,0
2021-01,2021-01-01,East of England,Cambridge University Hospitals,Type 3 - Minor Injuries,832,521,311,62.6,275,205,0
2021-01,2021-01-01,East of England,Norfolk and Norwich,Type 1 - Major A&E,6524,5687,837,87.2,1726,93,10
2021-01,2021-01-01,East of England,Norfolk and Norwich,Type 2 - Specialist,3219,2177,1042,67.6,967,186,0
2021-01,2021-01-01,East of England,Norfolk and Norwich,Type 3 - Minor Injuries,1536,913,623,59.4,248,243,0
2021-01,2021-01-01,East of England,Addenbrookes Hospital Trust,Type 1 - Major A&E,6922,5502,1420,79.5,1200,104,146
2021-01,2021-01-01,East of England,Addenbrookes Hospital Trust,Type 2 - Specialist,1320,734,586,55.6,383,277,0
2021-01,2021-01-01,East of England,Addenbrookes Hospital Trust,Type 3 - Minor Injuries,1770,1273,497,71.9,295,156,0
2021-02,2021-02-01,London,Barts Health NHS Trust,Type 1 - Major A&E,13279,8650,4629,65.1,4507,203,410
2021-02,2021-02-01,London,Barts Health NHS Trust,Type 2 - Specialist,2072,1182,890,57.0,542,253,0
2021-02,2021-02-01,London,Barts Health NHS Trust,Type 3 - Minor Injuries,1128,620,508,54.9,171,267,0
2021-02,2021-02-01,London,Imperial College Healthcare,Type 1 - Major A&E,5814,2988,2826,51.4,1627,261,288
2021-02,2021-02-01,London,Imperial College Healthcare,Type 2 - Specialist,2705,1623,1082,60.0,875,247,0
2021-02,2021-02-01,London,Imperial College Healthcare,Type 3 - Minor Injuries,1532,874,658,57.0,243,247,0
2021-02,2021-02-01,London,Kings College Hospital,Type 1 - Major A&E,6472,4825,1647,74.5,1687,141,18
2021-02,2021-02-01,London,Kings College Hospital,Type 2 - Specialist,2359,1660,699,70.3,649,201,0
2021-02,2021-02-01,London,Kings College Hospital,Type 3 - Minor Injuries,3562,1818,1744,51.0,1211,270,0
2021-02,2021-02-01,London,Guy's and St Thomas',Type 1 - Major A&E,10355,6888,3467,66.5,1942,195,201
2021-02,2021-02-01,London,Guy's and St Thomas',Type 2 - Specialist,3522,2073,1449,58.8,1222,269,0
2021-02,2021-02-01,London,Guy's and St Thomas',Type 3 - Minor Injuries,3164,2009,1155,63.5,907,217,0
2021-02,2021-02-01,London,University College London Hospitals,Type 1 - Major A&E,13169,10365,2804,78.7,3886,143,386
2021-02,2021-02-01,London,University College London Hospitals,Type 2 - Specialist,474,336,138,70.8,73,176,0
2021-02,2021-02-01,London,University College London Hospitals,Type 3 - Minor Injuries,806,606,200,75.2,216,143,0
2021-02,2021-02-01,North West,Manchester University NHS Foundation Trust,Type 1 - Major A&E,6403,4355,2048,68.0,1007,161,4
2021-02,2021-02-01,North West,Manchester University NHS Foundation Trust,Type 2 - Specialist,3125,2624,501,83.9,1091,118,0
2021-02,2021-02-01,North West,Manchester University NHS Foundation Trust,Type 3 - Minor Injuries,3307,2845,462,86.0,659,66,0
2021-02,2021-02-01,North West,Liverpool University Hospitals,Type 1 - Major A&E,8372,7018,1354,83.8,1638,115,153
2021-02,2021-02-01,North West,Liverpool University Hospitals,Type 2 - Specialist,2295,1418,877,61.8,583,252,0
2021-02,2021-02-01,North West,Liverpool University Hospitals,Type 3 - Minor Injuries,1144,922,222,80.5,299,115,0
2021-02,2021-02-01,North West,Lancashire Teaching Hospitals,Type 1 - Major A&E,7015,3922,3093,55.9,2111,254,296
2021-02,2021-02-01,North West,Lancashire Teaching Hospitals,Type 2 - Specialist,2303,1286,1017,55.8,506,268,0
2021-02,2021-02-01,North West,Lancashire Teaching Hospitals,Type 3 - Minor Injuries,3024,1867,1157,61.7,784,231,0
2021-02,2021-02-01,North West,Bolton NHS Foundation Trust,Type 1 - Major A&E,11197,8669,2528,77.4,3805,108,174
2021-02,2021-02-01,North West,Bolton NHS Foundation Trust,Type 2 - Specialist,3572,2271,1301,63.6,1235,240,0
2021-02,2021-02-01,North West,Bolton NHS Foundation Trust,Type 3 - Minor Injuries,1750,1252,498,71.5,289,196,0
2021-02,2021-02-01,Midlands,University Hospitals Birmingham,Type 1 - Major A&E,9444,5430,4014,57.5,2627,264,419
2021-02,2021-02-01,Midlands,University Hospitals Birmingham,Type 2 - Specialist,725,519,206,71.5,133,198,0
2021-02,2021-02-01,Midlands,University Hospitals Birmingham,Type 3 - Minor Injuries,3135,1861,1274,59.3,581,233,0
2021-02,2021-02-01,Midlands,Nottingham University Hospitals,Type 1 - Major A&E,8698,5785,2913,66.5,1938,183,144
2021-02,2021-02-01,Midlands,Nottingham University Hospitals,Type 2 - Specialist,3168,2277,891,71.9,799,180,0
2021-02,2021-02-01,Midlands,Nottingham University Hospitals,Type 3 - Minor Injuries,3009,1829,1180,60.8,502,239,0
2021-02,2021-02-01,Midlands,University Hospitals of Leicester,Type 1 - Major A&E,4004,3033,971,75.7,789,142,53
2021-02,2021-02-01,Midlands,University Hospitals of Leicester,Type 2 - Specialist,3470,1915,1555,55.2,612,241,0
2021-02,2021-02-01,Midlands,University Hospitals of Leicester,Type 3 - Minor Injuries,1986,1441,545,72.5,642,171,0
2021-02,2021-02-01,Midlands,Coventry and Warwickshire,Type 1 - Major A&E,8817,5485,3332,62.2,1643,234,160
2021-02,2021-02-01,Midlands,Coventry and Warwickshire,Type 2 - Specialist,1524,1049,475,68.8,333,181,0
2021-02,2021-02-01,Midlands,Coventry and Warwickshire,Type 3 - Minor Injuries,1869,1389,480,74.3,498,145,0
2021-02,2021-02-01,South East,Oxford University Hospitals,Type 1 - Major A&E,9919,7046,2873,71.0,2157,194,278
2021-02,2021-02-01,South East,Oxford University Hospitals,Type 2 - Specialist,1991,1369,622,68.8,670,209,0
2021-02,2021-02-01,South East,Oxford University Hospitals,Type 3 - Minor Injuries,2821,1883,938,66.7,903,198,0
2021-02,2021-02-01,South East,Brighton and Sussex,Type 1 - Major A&E,6261,3720,2541,59.4,1453,248,380
2021-02,2021-02-01,South East,Brighton and Sussex,Type 2 - Specialist,450,391,59,86.8,141,97,0
2021-02,2021-02-01,South East,Brighton and Sussex,Type 3 - Minor Injuries,1863,1479,384,79.3,486,100,0
2021-02,2021-02-01,South East,Royal Surrey NHS Foundation Trust,Type 1 - Major A&E,8572,5168,3404,60.3,2015,240,375
2021-02,2021-02-01,South East,Royal Surrey NHS Foundation Trust,Type 2 - Specialist,2340,1671,669,71.4,623,151,0
2021-02,2021-02-01,South East,Royal Surrey NHS Foundation Trust,Type 3 - Minor Injuries,3061,1738,1323,56.8,541,251,0
2021-02,2021-02-01,South East,East Kent Hospitals,Type 1 - Major A&E,12051,8292,3759,68.8,2421,193,1
2021-02,2021-02-01,South East,East Kent Hospitals,Type 2 - Specialist,3015,2076,939,68.9,662,204,0
2021-02,2021-02-01,South East,East Kent Hospitals,Type 3 - Minor Injuries,1945,1543,402,79.3,576,102,0
2021-02,2021-02-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 1 - Major A&E,5020,4229,791,84.2,801,92,16
2021-02,2021-02-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 2 - Specialist,1260,1032,228,81.8,235,96,0
2021-02,2021-02-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 3 - Minor Injuries,3594,2864,730,79.7,961,108,0
2021-02,2021-02-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 1 - Major A&E,12132,9739,2393,80.3,3334,120,268
2021-02,2021-02-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 2 - Specialist,2436,1596,840,65.5,624,228,0
2021-02,2021-02-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 3 - Minor Injuries,2410,1556,854,64.6,664,189,0
2021-02,2021-02-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 1 - Major A&E,7496,6048,1448,80.7,2235,111,171
2021-02,2021-02-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 2 - Specialist,2845,2244,601,78.9,508,99,0
2021-02,2021-02-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 3 - Minor Injuries,2880,2100,780,72.9,491,144,0
2021-02,2021-02-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 1 - Major A&E,9199,6475,2724,70.4,2303,154,61
2021-02,2021-02-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 2 - Specialist,2316,1690,626,73.0,624,167,0
2021-02,2021-02-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 3 - Minor Injuries,3539,2706,833,76.4,1209,150,0
2021-02,2021-02-01,South West,University Hospitals Bristol,Type 1 - Major A&E,12128,8043,4085,66.3,3310,197,359
2021-02,2021-02-01,South West,University Hospitals Bristol,Type 2 - Specialist,3049,2018,1031,66.2,818,215,0
2021-02,2021-02-01,South West,University Hospitals Bristol,Type 3 - Minor Injuries,796,586,210,73.6,223,176,0
2021-02,2021-02-01,South West,Royal Devon University Healthcare,Type 1 - Major A&E,10504,5739,4765,54.6,1794,282,661
2021-02,2021-02-01,South West,Royal Devon University Healthcare,Type 2 - Specialist,1682,1010,672,60.0,314,231,0
2021-02,2021-02-01,South West,Royal Devon University Healthcare,Type 3 - Minor Injuries,2992,1876,1116,62.7,812,239,0
2021-02,2021-02-01,South West,Plymouth Hospitals NHS Trust,Type 1 - Major A&E,9286,6076,3210,65.4,2514,211,191
2021-02,2021-02-01,South West,Plymouth Hospitals NHS Trust,Type 2 - Specialist,960,784,176,81.6,236,106,0
2021-02,2021-02-01,South West,Plymouth Hospitals NHS Trust,Type 3 - Minor Injuries,2802,1839,963,65.6,519,182,0
2021-02,2021-02-01,East of England,Cambridge University Hospitals,Type 1 - Major A&E,7418,5959,1459,80.3,1974,109,48
2021-02,2021-02-01,East of England,Cambridge University Hospitals,Type 2 - Specialist,1795,1489,306,82.9,469,93,0
2021-02,2021-02-01,East of England,Cambridge University Hospitals,Type 3 - Minor Injuries,2728,1637,1091,60.0,578,239,0
2021-02,2021-02-01,East of England,Norfolk and Norwich,Type 1 - Major A&E,12034,9277,2757,77.1,2932,155,15
2021-02,2021-02-01,East of England,Norfolk and Norwich,Type 2 - Specialist,726,515,211,70.8,212,194,0
2021-02,2021-02-01,East of England,Norfolk and Norwich,Type 3 - Minor Injuries,625,438,187,70.0,189,153,0
2021-02,2021-02-01,East of England,Addenbrookes Hospital Trust,Type 1 - Major A&E,8002,4927,3075,61.6,1636,218,297
2021-02,2021-02-01,East of England,Addenbrookes Hospital Trust,Type 2 - Specialist,3645,3165,480,86.8,1178,56,0
2021-02,2021-02-01,East of England,Addenbrookes Hospital Trust,Type 3 - Minor Injuries,1203,732,471,60.8,302,212,0
2021-03,2021-03-01,London,Barts Health NHS Trust,Type 1 - Major A&E,7542,5978,1564,79.2,1971,101,23
2021-03,2021-03-01,London,Barts Health NHS Trust,Type 2 - Specialist,2079,1650,429,79.4,712,144,0
2021-03,2021-03-01,London,Barts Health NHS Trust,Type 3 - Minor Injuries,480,333,147,69.2,80,163,0
2021-03,2021-03-01,London,Imperial College Healthcare,Type 1 - Major A&E,9186,7269,1917,79.1,2988,123,121
2021-03,2021-03-01,London,Imperial College Healthcare,Type 2 - Specialist,790,595,195,75.2,248,120,0
2021-03,2021-03-01,London,Imperial College Healthcare,Type 3 - Minor Injuries,693,561,132,80.9,211,92,0
2021-03,2021-03-01,London,Kings College Hospital,Type 1 - Major A&E,7350,6550,800,89.1,1270,64,58
2021-03,2021-03-01,London,Kings College Hospital,Type 2 - Specialist,455,334,121,73.2,135,131,0
2021-03,2021-03-01,London,Kings College Hospital,Type 3 - Minor Injuries,546,368,178,67.3,127,190,0
2021-03,2021-03-01,London,Guy's and St Thomas',Type 1 - Major A&E,9074,7305,1769,80.5,2853,107,216
2021-03,2021-03-01,London,Guy's and St Thomas',Type 2 - Specialist,395,303,92,76.5,124,133,0
2021-03,2021-03-01,London,Guy's and St Thomas',Type 3 - Minor Injuries,607,535,72,88.0,163,52,0
2021-03,2021-03-01,London,University College London Hospitals,Type 1 - Major A&E,6848,5401,1447,78.9,1581,153,91
2021-03,2021-03-01,London,University College London Hospitals,Type 2 - Specialist,456,346,110,75.8,123,140,0
2021-03,2021-03-01,London,University College London Hospitals,Type 3 - Minor Injuries,391,260,131,66.4,114,209,0
2021-03,2021-03-01,North West,Manchester University NHS Foundation Trust,Type 1 - Major A&E,9750,7825,1925,80.3,1725,143,62
2021-03,2021-03-01,North West,Manchester University NHS Foundation Trust,Type 2 - Specialist,915,701,214,76.6,228,154,0
2021-03,2021-03-01,North West,Manchester University NHS Foundation Trust,Type 3 - Minor Injuries,1863,1526,337,81.9,307,94,0
2021-03,2021-03-01,North West,Liverpool University Hospitals,Type 1 - Major A&E,6567,5447,1120,82.9,1308,74,13
2021-03,2021-03-01,North West,Liverpool University Hospitals,Type 2 - Specialist,464,340,124,73.3,103,173,0
2021-03,2021-03-01,North West,Liverpool University Hospitals,Type 3 - Minor Injuries,2431,2191,240,90.1,454,44,0
2021-03,2021-03-01,North West,Lancashire Teaching Hospitals,Type 1 - Major A&E,8776,7446,1330,84.8,2587,75,169
2021-03,2021-03-01,North West,Lancashire Teaching Hospitals,Type 2 - Specialist,2257,1712,545,75.8,764,160,0
2021-03,2021-03-01,North West,Lancashire Teaching Hospitals,Type 3 - Minor Injuries,2953,2563,390,86.8,778,106,0
2021-03,2021-03-01,North West,Bolton NHS Foundation Trust,Type 1 - Major A&E,2424,1983,441,81.8,811,128,27
2021-03,2021-03-01,North West,Bolton NHS Foundation Trust,Type 2 - Specialist,1496,1373,123,91.7,319,60,0
2021-03,2021-03-01,North West,Bolton NHS Foundation Trust,Type 3 - Minor Injuries,796,625,171,78.4,138,132,0
2021-03,2021-03-01,Midlands,University Hospitals Birmingham,Type 1 - Major A&E,2393,1829,564,76.4,390,125,68
2021-03,2021-03-01,Midlands,University Hospitals Birmingham,Type 2 - Specialist,1426,1214,212,85.1,335,102,0
2021-03,2021-03-01,Midlands,University Hospitals Birmingham,Type 3 - Minor Injuries,2559,2108,451,82.4,383,87,0
2021-03,2021-03-01,Midlands,Nottingham University Hospitals,Type 1 - Major A&E,10677,9170,1507,85.9,1621,82,173
2021-03,2021-03-01,Midlands,Nottingham University Hospitals,Type 2 - Specialist,698,550,148,78.8,142,153,0
2021-03,2021-03-01,Midlands,Nottingham University Hospitals,Type 3 - Minor Injuries,550,409,141,74.3,163,172,0
2021-03,2021-03-01,Midlands,University Hospitals of Leicester,Type 1 - Major A&E,3775,2890,885,76.5,1106,146,5
2021-03,2021-03-01,Midlands,University Hospitals of Leicester,Type 2 - Specialist,940,586,354,62.3,214,199,0
2021-03,2021-03-01,Midlands,University Hospitals of Leicester,Type 3 - Minor Injuries,2910,2449,461,84.1,779,103,0
2021-03,2021-03-01,Midlands,Coventry and Warwickshire,Type 1 - Major A&E,9855,8403,1452,85.3,3427,64,215
2021-03,2021-03-01,Midlands,Coventry and Warwickshire,Type 2 - Specialist,1555,1321,234,84.9,491,105,0
2021-03,2021-03-01,Midlands,Coventry and Warwickshire,Type 3 - Minor Injuries,2793,1976,817,70.7,953,200,0
2021-03,2021-03-01,South East,Oxford University Hospitals,Type 1 - Major A&E,5288,4187,1101,79.2,1341,113,164
2021-03,2021-03-01,South East,Oxford University Hospitals,Type 2 - Specialist,1534,1210,324,78.8,535,99,0
2021-03,2021-03-01,South East,Oxford University Hospitals,Type 3 - Minor Injuries,492,415,77,84.3,77,67,0
2021-03,2021-03-01,South East,Brighton and Sussex,Type 1 - Major A&E,3832,2923,909,76.3,783,140,121
2021-03,2021-03-01,South East,Brighton and Sussex,Type 2 - Specialist,1102,709,393,64.2,370,194,0
2021-03,2021-03-01,South East,Brighton and Sussex,Type 3 - Minor Injuries,1066,713,353,66.9,308,215,0
2021-03,2021-03-01,South East,Royal Surrey NHS Foundation Trust,Type 1 - Major A&E,8698,6331,2367,72.8,1437,149,21
2021-03,2021-03-01,South East,Royal Surrey NHS Foundation Trust,Type 2 - Specialist,1365,1150,215,84.2,299,97,0
2021-03,2021-03-01,South East,Royal Surrey NHS Foundation Trust,Type 3 - Minor Injuries,1953,1485,468,76.0,604,153,0
2021-03,2021-03-01,South East,East Kent Hospitals,Type 1 - Major A&E,3989,3611,378,90.5,1266,50,52
2021-03,2021-03-01,South East,East Kent Hospitals,Type 2 - Specialist,648,531,117,81.9,211,135,0
2021-03,2021-03-01,South East,East Kent Hospitals,Type 3 - Minor Injuries,2364,1976,388,83.6,513,97,0
2021-03,2021-03-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 1 - Major A&E,9249,8362,887,90.4,2326,65,25
2021-03,2021-03-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 2 - Specialist,1553,1442,111,92.8,313,72,0
2021-03,2021-03-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 3 - Minor Injuries,713,586,127,82.1,215,86,0
2021-03,2021-03-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 1 - Major A&E,6554,4952,1602,75.6,2204,144,189
2021-03,2021-03-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 2 - Specialist,2646,1716,930,64.8,771,201,0
2021-03,2021-03-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 3 - Minor Injuries,2229,1684,545,75.5,354,165,0
2021-03,2021-03-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 1 - Major A&E,8198,7678,520,93.7,1442,30,1
2021-03,2021-03-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 2 - Specialist,1088,852,236,78.2,218,122,0
2021-03,2021-03-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 3 - Minor Injuries,1460,1264,196,86.5,468,64,0
2021-03,2021-03-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 1 - Major A&E,9353,7151,2202,76.5,2848,130,216
2021-03,2021-03-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 2 - Specialist,1603,1384,219,86.3,474,98,0
2021-03,2021-03-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 3 - Minor Injuries,1040,765,275,73.5,360,129,0
2021-03,2021-03-01,South West,University Hospitals Bristol,Type 1 - Major A&E,2870,1897,973,66.1,804,184,82
2021-03,2021-03-01,South West,University Hospitals Bristol,Type 2 - Specialist,2273,2001,272,88.0,735,94,0
2021-03,2021-03-01,South West,University Hospitals Bristol,Type 3 - Minor Injuries,784,709,75,90.4,215,70,0
2021-03,2021-03-01,South West,Royal Devon University Healthcare,Type 1 - Major A&E,9280,8165,1115,88.0,2249,71,19
2021-03,2021-03-01,South West,Royal Devon University Healthcare,Type 2 - Specialist,2913,2106,807,72.3,568,195,0
2021-03,2021-03-01,South West,Royal Devon University Healthcare,Type 3 - Minor Injuries,2474,1862,612,75.2,524,130,0
