period,date,region,trust_name,ae_type,total_attendances,within_4hrs,breaches_over_4hrs,pct_within_4hrs,emergency_admissions,avg_wait_minutes,over_12hr_waits,year,month_name,quarter
2021-01,2021-01-01,South East,East Kent Hospitals,Type 1 - Major A&E,12744,10065,2679,79.0,3702,143,222,2021,January,1
2021-01,2021-01-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 1 - Major A&E,12910,8377,4533,64.9,2179,202,456,2021,January,1
2021-01,2021-01-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 1 - Major A&E,5406,4468,938,82.6,1721,105,74,2021,January,1
2021-01,2021-01-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 1 - Major A&E,10456,6114,4342,58.5,3008,219,112,2021,January,1
2021-01,2021-01-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 1 - Major A&E,9806,6785,3021,69.2,1499,167,41,2021,January,1
2021-01,2021-01-01,South West,University Hospitals Bristol,Type 1 - Major A&E,8070,5617,2453,69.6,1815,209,343,2021,January,1
2021-01,2021-01-01,South West,Royal Devon University Healthcare,Type 1 - Major A&E,13604,9500,4104,69.8,4602,153,505,2021,January,1
2021-01,2021-01-01,South West,Plymouth Hospitals NHS Trust,Type 1 - Major A&E,11382,7285,4097,64.0,3284,235,386,2021,January,1
2021-01,2021-01-01,East of England,Cambridge University Hospitals,Type 1 - Major A&E,4567,3915,652,85.7,1076,67,72,2021,January,1
2021-01,2021-01-01,East of England,Norfolk and Norwich,Type 1 - Major A&E,6524,5687,837,87.2,1726,93,10,2021,January,1
2021-01,2021-01-01,East of England,Addenbrookes Hospital Trust,Type 1 - Major A&E,6922,5502,1420,79.5,1200,104,146,2021,January,1
2021-02,2021-02-01,London,Barts Health NHS Trust,Type 1 - Major A&E,13279,8650,4629,65.1,4507,203,410,2021,February,1
2021-02,2021-02-01,London,Imperial College Healthcare,Type 1 - Major A&E,5814,2988,2826,51.4,1627,261,288,2021,February,1
2021-02,2021-02-01,London,Kings College Hospital,Type 1 - Major A&E,6472,4825,1647,74.5,1687,141,18,2021,February,1
2021-02,2021-02-01,London,Guy's and St Thomas',Type 1 - Major A&E,10355,6888,3467,66.5,1942,195,201,2021,February,1
2021-02,2021-02-01,London,University College London Hospitals,Type 1 - Major A&E,13169,10365,2804,78.7,3886,143,386,2021,February,1
2021-02,2021-02-01,North West,Manchester University NHS Foundation Trust,Type 1 - Major A&E,6403,4355,2048,68.0,1007,161,4,2021,February,1
2021-02,2021-02-01,North West,Liverpool University Hospitals,Type 1 - Major A&E,8372,7018,1354,83.8,1638,115,153,2021,February,1
2021-02,2021-02-01,North West,Lancashire Teaching Hospitals,Type 1 - Major A&E,7015,3922,3093,55.9,2111,254,296,2021,February,1
2021-02,2021-02-01,North West,Bolton NHS Foundation Trust,Type 1 - Major A&E,11197,8669,2528,77.4,3805,108,174,2021,February,1
2021-02,2021-02-01,Midlands,University Hospitals Birmingham,Type 1 - Major A&E,9444,5430,4014,57.5,2627,264,419,2021,February,1
2021-02,2021-02-01,Midlands,Nottingham University Hospitals,Type 1 - Major A&E,8698,5785,2913,66.5,1938,183,144,2021,February,1
2021-02,2021-02-01,Midlands,University Hospitals of Leicester,Type 1 - Major A&E,4004,3033,971,75.7,789,142,53,2021,February,1
2021-02,2021-02-01,Midlands,Coventry and Warwickshire,Type 1 - Major A&E,8817,5485,3332,62.2,1643,234,160,2021,February,1
2021-02,2021-02-01,South East,Oxford University Hospitals,Type 1 - Major A&E,9919,7046,2873,71.0,2157,194,278,2021,February,1
2021-02,2021-02-01,South East,Brighton and Sussex,Type 1 - Major A&E,6261,3720,2541,59.4,1453,248,380,2021,February,1
2021-02,2021-02-01,South East,Royal Surrey NHS Foundation Trust,Type 1 - Major A&E,8572,5168,3404,60.3,2015,240,375,2021,February,1
2021-02,2021-02-01,South East,East Kent Hospitals,Type 1 - Major A&E,12051,8292,3759,68.8,2421,193,1,2021,February,1
2021-02,2021-02-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 1 - Major A&E,5020,4229,791,84.2,801,92,16,2021,February,1
2021-02,2021-02-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 1 - Major A&E,12132,9739,2393,80.3,3334,120,268,2021,February,1
2021-02,2021-02-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 1 - Major A&E,7496,6048,1448,80.7,2235,111,171,2021,February,1
2021-02,2021-02-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 1 - Major A&E,9199,6475,2724,70.4,2303,154,61,2021,February,1
2021-02,2021-02-01,South West,University Hospitals Bristol,Type 1 - Major A&E,12128,8043,4085,66.3,3310,197,359,2021,February,1
2021-02,2021-02-01,South West,Royal Devon University Healthcare,Type 1 - Major A&E,10504,5739,4765,54.6,1794,282,661,2021,February,1
2021-02,2021-02-01,South West,Plymouth Hospitals NHS Trust,Type 1 - Major A&E,9286,6076,3210,65.4,2514,211,191,2021,February,1
2021-02,2021-02-01,East of England,Cambridge University Hospitals,Type 1 - Major A&E,7418,5959,1459,80.3,1974,109,48,2021,February,1
2021-02,2021-02-01,East of England,Norfolk and Norwich,Type 1 - Major A&E,12034,9277,2757,77.1,2932,155,15,2021,February,1
2021-02,2021-02-01,East of England,Addenbrookes Hospital Trust,Type 1 - Major A&E,8002,4927,3075,61.6,1636,218,297,2021,February,1
2021-03,2021-03-01,London,Barts Health NHS Trust,Type 1 - Major A&E,7542,5978,1564,79.2,1971,101,23,2021,March,1
2021-03,2021-03-01,London,Imperial College Healthcare,Type 1 - Major A&E,9186,7269,1917,79.1,2988,123,121,2021,March,1
2021-03,2021-03-01,London,Kings College Hospital,Type 1 - Major A&E,7350,6550,800,89.1,1270,64,58,2021,March,1
2021-03,2021-03-01,London,Guy's and St Thomas',Type 1 - Major A&E,9074,7305,1769,80.5,2853,107,216,2021,March,1
2021-03,2021-03-01,London,University College London Hospitals,Type 1 - Major A&E,6848,5401,1447,78.9,1581,153,91,2021,March,1
2021-03,2021-03-01,North West,Manchester University NHS Foundation Trust,Type 1 - Major A&E,9750,7825,1925,80.3,1725,143,62,2021,March,1
2021-03,2021-03-01,North West,Liverpool University Hospitals,Type 1 - Major A&E,6567,5447,1120,82.9,1308,74,13,2021,March,1
2021-03,2021-03-01,North West,Lancashire Teaching Hospitals,Type 1 - Major A&E,8776,7446,1330,84.8,2587,75,169,2021,March,1
2021-03,2021-03-01,North West,Bolton NHS Foundation Trust,Type 1 - Major A&E,2424,1983,441,81.8,811,128,27,2021,March,1
2021-03,2021-03-01,Midlands,University Hospitals Birmingham,Type 1 - Major A&E,2393,1829,564,76.4,390,125,68,2021,March,1
2021-03,2021-03-01,Midlands,Nottingham University Hospitals,Type 1 - Major A&E,10677,9170,1507,85.9,1621,82,173,2021,March,1
2021-03,2021-03-01,Midlands,University Hospitals of Leicester,Type 1 - Major A&E,3775,2890,885,76.5,1106,146,5,2021,March,1
2021-03,2021-03-01,Midlands,Coventry and Warwickshire,Type 1 - Major A&E,9855,8403,1452,85.3,3427,64,215,2021,March,1
2021-03,2021-03-01,South East,Oxford University Hospitals,Type 1 - Major A&E,5288,4187,1101,79.2,1341,113,164,2021,March,1
2021-03,2021-03-01,South East,Brighton and Sussex,Type 1 - Major A&E,3832,2923,909,76.3,783,140,121,2021,March,1
2021-03,2021-03-01,South East,Royal Surrey NHS Foundation Trust,Type 1 - Major A&E,8698,6331,2367,72.8,1437,149,21,2021,March,1
2021-03,2021-03-01,South East,East Kent Hospitals,Type 1 - Major A&E,3989,3611,378,90.5,1266,50,52,2021,March,1
2021-03,2021-03-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 1 - Major A&E,9249,8362,887,90.4,2326,65,25,2021,March,1
2021-03,2021-03-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 1 - Major A&E,6554,4952,1602,75.6,2204,144,189,2021,March,1
2021-03,2021-03-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 1 - Major A&E,8198,7678,520,93.7,1442,30,1,2021,March,1
2021-03,2021-03-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 1 - Major A&E,9353,7151,2202,76.5,2848,130,216,2021,March,1
2021-03,2021-03-01,South West,University Hospitals Bristol,Type 1 - Major A&E,2870,1897,973,66.1,804,184,82,2021,March,1
2021-03,2021-03-01,South West,Royal Devon University Healthcare,Type 1 - Major A&E,9280,8165,1115,88.0,2249,71,19,2021,March,1
2021-03,2021-03-01,South West,Plymouth Hospitals NHS Trust,Type 1 - Major A&E,9958,6561,3397,65.9,2449,204,367,2021,March,1
2021-03,2021-03-01,East of England,Cambridge University Hospitals,Type 1 - Major A&E,4315,2742,1573,63.5,1094,220,208,2021,March,1
2021-03,2021-03-01,East of England,Norfolk and Norwich,Type 1 - Major A&E,3721,2955,766,79.4,1254,131,70,2021,March,1
2021-03,2021-03-01,East of England,Addenbrookes Hospital Trust,Type 1 - Major A&E,8684,5449,3235,62.7,2064,210,29,2021,March,1
2021-04,2021-04-01,London,Barts Health NHS Trust,Type 1 - Major A&E,4759,3615,1144,76.0,1230,172,111,2021,April,2
2021-04,2021-04-01,London,Imperial College Healthcare,Type 1 - Major A&E,10343,8489,1854,82.1,3344,108,163,2021,April,2
2021-04,2021-04-01,London,Kings College Hospital,Type 1 - Major A&E,2681,2041,640,76.1,785,160,57,2021,April,2
2021-04,2021-04-01,London,Guy's and St Thomas',Type 1 - Major A&E,4659,2951,1708,63.3,1602,191,219,2021,April,2
2021-04,2021-04-01,London,University College London Hospitals,Type 1 - Major A&E,10909,7541,3368,69.1,2982,155,127,2021,April,2
2021-04,2021-04-01,North West,Manchester University NHS Foundation Trust,Type 1 - Major A&E,3081,2091,990,67.9,789,181,7,2021,April,2
2021-04,2021-04-01,North West,Liverpool University Hospitals,Type 1 - Major A&E,2449,2105,344,85.9,590,100,26,2021,April,2
2021-04,2021-04-01,North West,Lancashire Teaching Hospitals,Type 1 - Major A&E,7317,6235,1082,85.2,2111,112,158,2021,April,2
2021-04,2021-04-01,North West,Bolton NHS Foundation Trust,Type 1 - Major A&E,4669,3692,977,79.1,849,100,46,2021,April,2
2021-04,2021-04-01,Midlands,University Hospitals Birmingham,Type 1 - Major A&E,5043,4332,711,85.9,1581,77,31,2021,April,2
2021-04,2021-04-01,Midlands,Nottingham University Hospitals,Type 1 - Major A&E,11010,9275,1735,84.2,2672,66,141,2021,April,2
2021-04,2021-04-01,Midlands,University Hospitals of Leicester,Type 1 - Major A&E,10505,9344,1161,88.9,1614,58,75,2021,April,2
2021-04,2021-04-01,Midlands,Coventry and Warwickshire,Type 1 - Major A&E,8486,6478,2008,76.3,2187,127,26,2021,April,2
2021-04,2021-04-01,South East,Oxford University Hospitals,Type 1 - Major A&E,8066,7181,885,89.0,1350,88,73,2021,April,2
2021-04,2021-04-01,South East,Brighton and Sussex,Type 1 - Major A&E,10030,8662,1368,86.4,2017,54,56,2021,April,2
2021-04,2021-04-01,South East,Royal Surrey NHS Foundation Trust,Type 1 - Major A&E,2732,1857,875,67.9,535,168,71,2021,April,2
2021-04,2021-04-01,South East,East Kent Hospitals,Type 1 - Major A&E,7555,4874,2681,64.5,2227,223,364,2021,April,2
2021-04,2021-04-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 1 - Major A&E,6219,4460,1759,71.7,2027,188,179,2021,April,2
2021-04,2021-04-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 1 - Major A&E,11621,9843,1778,84.7,2139,102,25,2021,April,2
2021-04,2021-04-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 1 - Major A&E,8444,6676,1768,79.1,1700,102,200,2021,April,2
2021-04,2021-04-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 1 - Major A&E,4041,3039,1002,75.2,1091,172,24,2021,April,2
2021-04,2021-04-01,South West,University Hospitals Bristol,Type 1 - Major A&E,8215,6932,1283,84.4,1365,83,4,2021,April,2
2021-04,2021-04-01,South West,Royal Devon University Healthcare,Type 1 - Major A&E,6133,4790,1343,78.1,1932,113,74,2021,April,2
2021-04,2021-04-01,South West,Plymouth Hospitals NHS Trust,Type 1 - Major A&E,4178,3010,1168,72.0,1170,155,67,2021,April,2
2021-04,2021-04-01,East of England,Cambridge University Hospitals,Type 1 - Major A&E,10626,8428,2198,79.3,2676,132,75,2021,April,2
2021-04,2021-04-01,East of England,Norfolk and Norwich,Type 1 - Major A&E,9979,6851,3128,68.6,3420,212,195,2021,April,2
2021-04,2021-04-01,East of England,Addenbrookes Hospital Trust,Type 1 - Major A&E,5201,3781,1420,72.7,1452,153,179,2021,April,2
2021-05,2021-05-01,London,Barts Health NHS Trust,Type 1 - Major A&E,9851,6339,3512,64.3,3335,184,230,2021,May,2
2021-05,2021-05-01,London,Imperial College Healthcare,Type 1 - Major A&E,7536,6021,1515,79.9,2619,112,154,2021,May,2
2021-05,2021-05-01,London,Kings College Hospital,Type 1 - Major A&E,10103,8920,1183,88.3,2232,97,17,2021,May,2
2021-05,2021-05-01,London,Guy's and St Thomas',Type 1 - Major A&E,10117,6526,3591,64.5,1657,206,285,2021,May,2
2021-05,2021-05-01,London,University College London Hospitals,Type 1 - Major A&E,8384,5364,3020,64.0,1416,225,195,2021,May,2
2021-05,2021-05-01,North West,Manchester University NHS Foundation Trust,Type 1 - Major A&E,2357,2059,298,87.3,709,65,43,2021,May,2
2021-05,2021-05-01,North West,Liverpool University Hospitals,Type 1 - Major A&E,5437,4945,492,90.9,979,67,54,2021,May,2
2021-05,2021-05-01,North West,Lancashire Teaching Hospitals,Type 1 - Major A&E,7383,5458,1925,73.9,2571,165,56,2021,May,2
2021-05,2021-05-01,North West,Bolton NHS Foundation Trust,Type 1 - Major A&E,10368,7093,3275,68.4,1975,192,372,2021,May,2
2021-05,2021-05-01,Midlands,University Hospitals Birmingham,Type 1 - Major A&E,7656,5980,1676,78.1,1153,138,41,2021,May,2
2021-05,2021-05-01,Midlands,Nottingham University Hospitals,Type 1 - Major A&E,2722,1738,984,63.8,754,204,8,2021,May,2
2021-05,2021-05-01,Midlands,University Hospitals of Leicester,Type 1 - Major A&E,3132,2814,318,89.8,1054,74,8,2021,May,2
2021-05,2021-05-01,Midlands,Coventry and Warwickshire,Type 1 - Major A&E,3694,3132,562,84.8,987,66,43,2021,May,2
2021-05,2021-05-01,South East,Oxford University Hospitals,Type 1 - Major A&E,9209,7793,1416,84.6,2185,118,1,2021,May,2
2021-05,2021-05-01,South East,Brighton and Sussex,Type 1 - Major A&E,5846,5084,762,87.0,1194,101,49,2021,May,2
2021-05,2021-05-01,South East,Royal Surrey NHS Foundation Trust,Type 1 - Major A&E,9008,7888,1120,87.6,2360,50,66,2021,May,2
2021-05,2021-05-01,South East,East Kent Hospitals,Type 1 - Major A&E,9694,6262,3432,64.6,1890,223,45,2021,May,2
2021-05,2021-05-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 1 - Major A&E,10370,7667,2703,73.9,3318,127,39,2021,May,2
2021-05,2021-05-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 1 - Major A&E,3859,2952,907,76.5,979,166,17,2021,May,2
2021-05,2021-05-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 1 - Major A&E,7613,6492,1121,85.3,1829,116,63,2021,May,2
2021-05,2021-05-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 1 - Major A&E,3976,2832,1144,71.2,1227,148,105,2021,May,2
2021-05,2021-05-01,South West,University Hospitals Bristol,Type 1 - Major A&E,7687,5464,2223,71.1,2388,188,106,2021,May,2
2021-05,2021-05-01,South West,Royal Devon University Healthcare,Type 1 - Major A&E,6974,6160,814,88.3,1156,44,118,2021,May,2
2021-05,2021-05-01,South West,Plymouth Hospitals NHS Trust,Type 1 - Major A&E,2645,1900,745,71.8,833,171,26,2021,May,2
2021-05,2021-05-01,East of England,Cambridge University Hospitals,Type 1 - Major A&E,8665,7021,1644,81.0,1845,138,17,2021,May,2
2021-05,2021-05-01,East of England,Norfolk and Norwich,Type 1 - Major A&E,11066,9909,1157,89.5,2175,40,136,2021,May,2
2021-05,2021-05-01,East of England,Addenbrookes Hospital Trust,Type 1 - Major A&E,6692,4893,1799,73.1,1567,144,247,2021,May,2
2021-06,2021-06-01,London,Barts Health NHS Trust,Type 1 - Major A&E,3166,2195,971,69.3,551,189,14,2021,June,2
2021-06,2021-06-01,London,Imperial College Healthcare,Type 1 - Major A&E,7533,6098,1435,80.9,1248,112,180,2021,June,2
2021-06,2021-06-01,London,Kings College Hospital,Type 1 - Major A&E,4406,3486,920,79.1,1503,102,71,2021,June,2
2021-06,2021-06-01,London,Guy's and St Thomas',Type 1 - Major A&E,3364,2075,1289,61.7,832,221,50,2021,June,2
2021-06,2021-06-01,London,University College London Hospitals,Type 1 - Major A&E,4468,3213,1255,71.9,1226,151,114,2021,June,2
2021-06,2021-06-01,North West,Manchester University NHS Foundation Trust,Type 1 - Major A&E,3394,2416,978,71.2,697,166,12,2021,June,2
2021-06,2021-06-01,North West,Liverpool University Hospitals,Type 1 - Major A&E,9969,7993,1976,80.2,2918,99,199,2021,June,2
2021-06,2021-06-01,North West,Lancashire Teaching Hospitals,Type 1 - Major A&E,4922,4343,579,88.2,829,86,36,2021,June,2
2021-06,2021-06-01,North West,Bolton NHS Foundation Trust,Type 1 - Major A&E,5431,4632,799,85.3,1601,84,88,2021,June,2
2021-06,2021-06-01,Midlands,University Hospitals Birmingham,Type 1 - Major A&E,8489,7319,1170,86.2,2709,105,149,2021,June,2
2021-06,2021-06-01,Midlands,Nottingham University Hospitals,Type 1 - Major A&E,2379,1524,855,64.0,369,244,88,2021,June,2
2021-06,2021-06-01,Midlands,University Hospitals of Leicester,Type 1 - Major A&E,5892,5146,746,87.3,1003,49,59,2021,June,2
2021-06,2021-06-01,Midlands,Coventry and Warwickshire,Type 1 - Major A&E,7165,5165,2000,72.1,1108,195,44,2021,June,2
2021-06,2021-06-01,South East,Oxford University Hospitals,Type 1 - Major A&E,5086,3783,1303,74.4,1109,126,191,2021,June,2
2021-06,2021-06-01,South East,Brighton and Sussex,Type 1 - Major A&E,9066,7120,1946,78.5,2412,121,291,2021,June,2
2021-06,2021-06-01,South East,Royal Surrey NHS Foundation Trust,Type 1 - Major A&E,3044,2687,357,88.3,537,66,48,2021,June,2
2021-06,2021-06-01,South East,East Kent Hospitals,Type 1 - Major A&E,2687,2454,233,91.3,867,76,13,2021,June,2
2021-06,2021-06-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 1 - Major A&E,6196,5270,926,85.0,1177,67,8,2021,June,2
2021-06,2021-06-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 1 - Major A&E,2866,2459,407,85.8,826,96,38,2021,June,2
2021-06,2021-06-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 1 - Major A&E,9396,7100,2296,75.6,1539,128,259,2021,June,2
2021-06,2021-06-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 1 - Major A&E,4469,3702,767,82.8,1294,116,109,2021,June,2
2021-06,2021-06-01,South West,University Hospitals Bristol,Type 1 - Major A&E,5764,5245,519,91.0,1331,50,1,2021,June,2
2021-06,2021-06-01,South West,Royal Devon University Healthcare,Type 1 - Major A&E,6701,5500,1201,82.1,1101,108,94,2021,June,2
2021-06,2021-06-01,South West,Plymouth Hospitals NHS Trust,Type 1 - Major A&E,5608,4610,998,82.2,1292,132,0,2021,June,2
2021-06,2021-06-01,East of England,Cambridge University Hospitals,Type 1 - Major A&E,7637,5282,2355,69.2,2469,158,278,2021,June,2
2021-06,2021-06-01,East of England,Norfolk and Norwich,Type 1 - Major A&E,6815,4883,1932,71.6,1930,172,80,2021,June,2
2021-06,2021-06-01,East of England,Addenbrookes Hospital Trust,Type 1 - Major A&E,8443,6286,2157,74.4,1889,166,0,2021,June,2
2021-07,2021-07-01,London,Barts Health NHS Trust,Type 1 - Major A&E,12160,7824,4336,64.3,3408,200,479,2021,July,3
2021-07,2021-07-01,London,Imperial College Healthcare,Type 1 - Major A&E,10342,6122,4220,59.2,2249,235,449,2021,July,3
2021-07,2021-07-01,London,Kings College Hospital,Type 1 - Major A&E,6388,4115,2273,64.4,1126,194,42,2021,July,3
2021-07,2021-07-01,London,Guy's and St Thomas',Type 1 - Major A&E,3402,2797,605,82.2,1086,84,49,2021,July,3
2021-07,2021-07-01,London,University College London Hospitals,Type 1 - Major A&E,7613,5036,2577,66.1,2577,177,205,2021,July,3
2021-07,2021-07-01,North West,Manchester University NHS Foundation Trust,Type 1 - Major A&E,8930,7439,1491,83.3,1632,80,58,2021,July,3
2021-07,2021-07-01,North West,Liverpool University Hospitals,Type 1 - Major A&E,4801,4377,424,91.2,952,80,43,2021,July,3
2021-07,2021-07-01,North West,Lancashire Teaching Hospitals,Type 1 - Major A&E,13537,9970,3567,73.6,3457,158,129,2021,July,3
2021-07,2021-07-01,North West,Bolton NHS Foundation Trust,Type 1 - Major A&E,11230,9927,1303,88.4,3464,97,69,2021,July,3
2021-07,2021-07-01,Midlands,University Hospitals Birmingham,Type 1 - Major A&E,6188,5311,877,85.8,943,64,103,2021,July,3
2021-07,2021-07-01,Midlands,Nottingham University Hospitals,Type 1 - Major A&E,4208,3614,594,85.9,1464,87,88,2021,July,3
2021-07,2021-07-01,Midlands,University Hospitals of Leicester,Type 1 - Major A&E,3388,2715,673,80.1,638,133,98,2021,July,3
2021-07,2021-07-01,Midlands,Coventry and Warwickshire,Type 1 - Major A&E,3388,2823,565,83.3,747,116,76,2021,July,3
2021-07,2021-07-01,South East,Oxford University Hospitals,Type 1 - Major A&E,13197,9607,3590,72.8,4300,133,220,2021,July,3
2021-07,2021-07-01,South East,Brighton and Sussex,Type 1 - Major A&E,12730,9053,3677,71.1,1909,199,33,2021,July,3
2021-07,2021-07-01,South East,Royal Surrey NHS Foundation Trust,Type 1 - Major A&E,12881,11154,1727,86.6,4240,86,184,2021,July,3
2021-07,2021-07-01,South East,East Kent Hospitals,Type 1 - Major A&E,12203,7719,4484,63.2,3093,206,640,2021,July,3
2021-07,2021-07-01,North East & Yorkshire,Newcastle upon Tyne Hospitals,Type 1 - Major A&E,12663,8370,4293,66.1,2148,178,593,2021,July,3
2021-07,2021-07-01,North East & Yorkshire,Leeds Teaching Hospitals,Type 1 - Major A&E,10078,8312,1766,82.5,2618,91,100,2021,July,3
2021-07,2021-07-01,North East & Yorkshire,Sheffield Teaching Hospitals,Type 1 - Major A&E,9231,8080,1151,87.5,3169,62,74,2021,July,3
2021-07,2021-07-01,North East & Yorkshire,Hull University Teaching Hospitals,Type 1 - Major A&E,12498,11281,1217,90.3,3866,34,57,2021,July,3
2021-07,2021-07-01,South West,University Hospitals Bristol,Type 1 - Major A&E,4188,3368,820,80.4,1135,142,96,2021,July,3
2021-07,2021-07-01,South West,Royal Devon University Healthcare,Type 1 - Major A&E,11964,10435,1529,87.2,4164,69,63,2021,July,3
2021-07,2021-07-01,South West,Plymouth Hospitals NHS Trust,Type 1 - Major A&E,6298,4287,2011,68.1,1595,195,81,2021,July,3
2021-07,2021-07-01,East of England,Cambridge University Hospitals,Type 1 - Major A&E,6111,4118,1993,67.4,2096,179,168,2021,July,3
2021-07,2021-07-01,East of England,Norfolk and Norwich,Type 1 - Major A&E,7345,4988,2357,67.9,2020,191,240,2021,July,3
2021-07,2021-07-01,East of England,Addenbrookes Hospital Trust,Type 1 - Major A&E,10608,8580,2028,80.9,2285,135,227,2021,July,3
2021-08,2021-08-01,London,Barts Health NHS Trust,Type 1 - Major A&E,13937,10815,3122,77.6,4631,136,100,2021,August,3
2021-08,2021-08-01,London,Imperial College Healthcare,Type 1 - Major A&E,13061,11184,1877,85.6,2482,65,144,2021,August,3
2021-08,2021-08-01,London,Kings College Hospital,Type 1 - Major A&E,12868,10398,2470,80.8,3552,127,236,2021,August,3
2021-08,2021-08-01,London,Guy's and St Thomas',Type 1 - Major A&E,6135,3550,2585,57.9,1265,224,158,2021,August,3
2021-08,2021-08-01,London,University College London Hospitals,Type 1 - Major A&E,3574,2304,1270,64.5,852,224,102,2021,August,3
2021-08,2021-08-01,North West,Manchester University NHS Foundation Trust,Type 1 - Major A&E,5336,4143,1193,77.6,883,148,90,2021,August,3
2021-08,2021-08-01,North West,Liverpool University Hospitals,Type 1 - Major A&E,9174,6181,2993,67.4,1679,204,387,2021,August,3
2021-08,2021-08-01,North West,Lancashire Teaching Hospitals,Type 1 - Major A&E,10301,8251,2050,80.1,2050,143,74,2021,August,3
2021-08,2021-08-01,North West,Bolton NHS Foundation Trust,Type 1 - Major A&E,10594,7873,2721,74.3,2808,152,217,2021,August,3
2021-08,2021-08-01,Midlands,University Hospitals Birmingham,Type 1 - Major A&E,3615,3148,467,87.1,1162,105,33,2021,August,3
2021-08,2021-08-01,Midlands,Nottingham University Hospitals,Type 1 - Major A&E,12451,9093,3358,73.0,3139,149,430,2021,August,3
2021-08,2021-08-01,Midlands,University Hospitals of Leicester,Type 1 - Major A&E,8741,7723,1018,88.3,3027,56,57,2021,August,3
2021-08,2021-08-01,Midlands,Coventry and Warwickshire,Type 1 - Major A&E,7922,5128,2794,64.7,2660,210,91,2021,August,3
2021-08,2021-08-01,South East,Oxford University Hospitals,Type 1 - Major A&E,12264,9246,3018,75.4,3485,160,336,2021,August,3
2021-08,2021-08-01,South East,Brighton and Sussex,Type 1 - Major A&E,11897,8618,3279,72.4,3480,150,99,2021,August,3
