transaction_id,date,year,month,price_gbp,property_type,new_build,region,postcode_area
TX-000086,2019-03-10,2019,3,431044,Terraced,0,East of England,EA24
TX-000087,2018-12-11,2018,12,324217,Detached,0,Wales,WA11
TX-000088,2020-09-11,2020,9,354446,Semi-Detached,0,South East,SO22
TX-000089,2021-08-18,2021,8,239625,Terraced,0,Yorkshire,YO29
TX-000090,2020-05-22,2020,5,580026,Detached,0,South East,SO21
TX-000091,2022-09-15,2022,9,178566,Semi-Detached,0,East Midlands,EA25
TX-000092,2023-11-26,2023,11,93879,Flat,0,North West,NO4
TX-000093,2018-03-26,2018,3,210449,Detached,0,North East,NO28
TX-000094,2019-10-07,2019,10,354493,Detached,0,South West,SO3
TX-000095,2023-11-15,2023,11,157581,Terraced,0,Scotland,SC25
TX-000096,2021-10-22,2021,10,133390,Terraced,0,Yorkshire,YO26
TX-000097,2018-01-18,2018,1,114505,Semi-Detached,0,East Midlands,EA15
TX-000098,2023-02-12,2023,2,173171,Terraced,0,East Midlands,EA19
TX-000099,2022-06-06,2022,6,133362,Flat,0,South West,SO5
TX-000100,2022-06-16,2022,6,258749,Semi-Detached,0,Scotland,SC4
TX-000101,2023-08-04,2023,8,137959,Flat,0,Wales,WA24
TX-000102,2019-04-06,2019,4,231812,Flat,1,London,LO22
TX-000103,2023-03-13,2023,3,271648,Flat,0,South East,SO12
TX-000104,2019-06-20,2019,6,501796,Terraced,0,South East,SO17
TX-000105,2018-10-13,2018,10,165642,Terraced,1,East Midlands,EA11
TX-000106,2023-02-10,2023,2,185904,Semi-Detached,0,North West,NO12
TX-000107,2019-04-24,2019,4,546121,Semi-Detached,0,South East,SO6
TX-000108,2023-01-18,2023,1,261767,Flat,0,South West,SO14
TX-000109,2020-09-28,2020,9,244502,Semi-Detached,0,Scotland,SC29
TX-000110,2018-05-21,2018,5,491305,Semi-Detached,0,London,LO5
TX-000111,2020-10-08,2020,10,115674,Flat,0,North East,NO7
TX-000112,2020-06-01,2020,6,90042,Terraced,0,Yorkshire,YO25
TX-000113,2024-07-19,2024,7,157593,Terraced,0,East of England,EA8
TX-000114,2021-01-04,2021,1,273058,Terraced,1,Yorkshire,YO29
TX-000115,2018-05-05,2018,5,253054,Terraced,0,South East,SO27
TX-000116,2023-06-13,2023,6,151921,Terraced,0,Yorkshire,YO24
TX-000117,2024-08-19,2024,8,522967,Detached,0,North West,NO19
TX-000118,2019-11-10,2019,11,130127,Terraced,0,East Midlands,EA8
TX-000119,2024-10-25,2024,10,166518,Flat,0,East Midlands,EA1
TX-000120,2021-11-04,2021,11,247885,Flat,0,London,LO5
TX-000121,2024-10-14,2024,10,145334,Terraced,0,Scotland,SC8
TX-000122,2020-07-26,2020,7,328666,Detached,0,Wales,WA14
TX-000123,2024-09-15,2024,9,355895,Semi-Detached,0,South East,SO9
TX-000124,2019-04-03,2019,4,122204,Terraced,0,Yorkshire,YO20
TX-000125,2020-06-11,2020,6,330899,Semi-Detached,0,East Midlands,EA27
TX-000126,2020-06-06,2020,6,292964,Detached,0,West Midlands,WE21
TX-000127,2018-11-08,2018,11,127997,Terraced,0,Scotland,SC17
TX-000128,2022-07-17,2022,7,277000,Semi-Detached,0,East of England,EA13
TX-000129,2020-02-17,2020,2,342764,Semi-Detached,0,South West,SO18
TX-000130,2020-04-07,2020,4,646128,Detached,1,West Midlands,WE3
TX-000131,2019-03-18,2019,3,215476,Terraced,0,South West,SO7
TX-000132,2018-09-27,2018,9,195867,Semi-Detached,0,North West,NO29
TX-000133,2018-05-24,2018,5,221779,Detached,0,North West,NO14
TX-000134,2023-11-22,2023,11,164680,Flat,1,North West,NO21
TX-000135,2024-02-15,2024,2,396280,Detached,1,South West,SO5
TX-000136,2019-02-20,2019,2,582727,Semi-Detached,0,East of England,EA5
TX-000137,2023-09-24,2023,9,414901,Semi-Detached,0,East of England,EA17
TX-000138,2020-07-19,2020,7,158124,Terraced,0,Wales,WA17
TX-000139,2019-09-26,2019,9,412486,Semi-Detached,1,South East,SO29
TX-000140,2024-05-21,2024,5,739397,Detached,1,South East,SO10
TX-000141,2023-02-10,2023,2,265160,Terraced,0,East Midlands,EA22
TX-000142,2018-06-13,2018,6,449405,Terraced,0,London,LO25
TX-000143,2019-01-28,2019,1,267084,Semi-Detached,0,West Midlands,WE22
TX-000144,2020-05-21,2020,5,73814,Terraced,0,Yorkshire,YO11
TX-000145,2021-01-24,2021,1,353659,Terraced,0,East of England,EA22
TX-000146,2018-10-03,2018,10,865851,Detached,0,London,LO20
TX-000147,2023-11-09,2023,11,649740,Terraced,0,London,LO8
TX-000148,2018-11-03,2018,11,118435,Terraced,0,Yorkshire,YO3
TX-000149,2021-12-17,2021,12,467001,Flat,1,London,LO10
TX-000150,2018-12-08,2018,12,122361,Terraced,1,Yorkshire,YO21
TX-000151,2022-06-26,2022,6,256891,Terraced,0,Yorkshire,YO15
TX-000152,2024-01-26,2024,1,1433321,Detached,0,London,LO7
TX-000153,2022-07-07,2022,7,601150,Semi-Detached,1,London,LO3
TX-000154,2019-07-03,2019,7,673688,Detached,0,East of England,EA12
TX-000155,2019-03-15,2019,3,591164,Terraced,0,London,LO24
TX-000156,2022-06-16,2022,6,196788,Semi-Detached,0,East Midlands,EA13
TX-000157,2023-02-03,2023,2,396482,Detached,1,North West,NO27
TX-000158,2021-01-25,2021,1,292590,Semi-Detached,0,Northern Ireland,NO16
TX-000159,2024-09-17,2024,9,121755,Terraced,0,Wales,WA3
TX-000160,2023-02-25,2023,2,156342,Semi-Detached,0,West Midlands,WE16
TX-000161,2023-09-05,2023,9,737627,Detached,1,London,LO29
TX-000162,2021-06-24,2021,6,234056,Flat,1,South East,SO11
TX-000163,2019-09-22,2019,9,137983,Terraced,0,Scotland,SC21
TX-000164,2023-10-09,2023,10,324544,Detached,0,Wales,WA17
TX-000165,2023-05-17,2023,5,301049,Detached,0,Northern Ireland,NO24
TX-000166,2020-06-25,2020,6,100258,Terraced,0,Scotland,SC9
TX-000167,2022-02-03,2022,2,138253,Semi-Detached,0,Scotland,SC25
TX-000168,2019-09-11,2019,9,165956,Semi-Detached,1,Wales,WA27
TX-000169,2021-06-28,2021,6,396937,Semi-Detached,0,East of England,EA16
TX-000170,2022-01-19,2022,1,653770,Detached,1,North West,NO26
TX-000171,2019-08-08,2019,8,204454,Terraced,0,East Midlands,EA28
TX-000172,2020-09-21,2020,9,194862,Semi-Detached,0,Wales,WA10
TX-000173,2020-06-11,2020,6,1167993,Detached,0,London,LO21
TX-000174,2024-02-12,2024,2,131902,Flat,0,Yorkshire,YO7
TX-000175,2022-11-24,2022,11,163563,Flat,0,South East,SO13
TX-000176,2023-03-02,2023,3,163523,Terraced,0,North East,NO28
TX-000177,2023-05-27,2023,5,407731,Detached,0,North West,NO17
TX-000178,2018-10-24,2018,10,175208,Semi-Detached,0,North East,NO27
TX-000179,2023-12-11,2023,12,206994,Terraced,0,Wales,WA1
TX-000180,2024-03-02,2024,3,356621,Semi-Detached,0,East of England,EA14
TX-000181,2021-01-11,2021,1,452566,Detached,0,West Midlands,WE20
TX-000182,2024-04-17,2024,4,286098,Terraced,0,Wales,WA12
TX-000183,2022-05-26,2022,5,301801,Flat,0,London,LO28
TX-000184,2019-03-12,2019,3,516454,Detached,0,Yorkshire,YO18
TX-000185,2020-08-07,2020,8,331122,Detached,0,Wales,WA3
TX-000186,2021-05-20,2021,5,70473,Flat,1,North East,NO14
TX-000187,2023-07-25,2023,7,346094,Detached,0,West Midlands,WE28
TX-000188,2023-05-11,2023,5,1053375,Semi-Detached,0,London,LO13
TX-000189,2022-02-11,2022,2,503497,Terraced,0,London,LO13
TX-000190,2021-06-19,2021,6,127498,Flat,0,Yorkshire,YO24
TX-000191,2021-09-01,2021,9,471801,Terraced,0,London,LO10
TX-000192,2019-12-09,2019,12,227700,Detached,0,North East,NO13
TX-000193,2022-04-10,2022,4,735349,Semi-Detached,0,London,LO23
TX-000194,2020-03-09,2020,3,85079,Flat,0,North West,NO7
TX-000195,2018-02-15,2018,2,114933,Flat,0,North West,NO27
TX-000196,2020-04-22,2020,4,205314,Terraced,0,West Midlands,WE26
TX-000197,2024-09-12,2024,9,750084,Detached,0,West Midlands,WE13
TX-000198,2020-10-13,2020,10,214603,Semi-Detached,0,West Midlands,WE8
TX-000199,2022-07-27,2022,7,260812,Detached,0,Wales,WA3
TX-000200,2020-03-15,2020,3,765485,Semi-Detached,0,London,LO1
TX-000201,2018-05-12,2018,5,126515,Terraced,0,Wales,WA20
TX-000202,2019-01-26,2019,1,286286,Terraced,0,West Midlands,WE21
TX-000203,2021-02-26,2021,2,342371,Terraced,1,South West,SO22
TX-000204,2020-02-03,2020,2,357316,Terraced,0,East of England,EA26
TX-000205,2023-07-06,2023,7,184962,Terraced,0,Yorkshire,YO13
TX-000206,2023-12-07,2023,12,187992,Semi-Detached,0,South West,SO25
TX-000207,2024-06-05,2024,6,150287,Terraced,1,North West,NO1
TX-000208,2021-07-03,2021,7,112302,Semi-Detached,0,North East,NO22
TX-000209,2019-10-12,2019,10,279840,Terraced,0,South East,SO1
TX-000210,2023-04-15,2023,4,321500,Semi-Detached,0,South East,SO5
TX-000211,2018-01-27,2018,1,229150,Terraced,0,East Midlands,EA29
TX-000212,2023-02-26,2023,2,935530,Detached,0,London,LO29
TX-000213,2020-06-18,2020,6,555455,Detached,0,North West,NO24
TX-000214,2023-02-07,2023,2,304754,Semi-Detached,1,North West,NO24
TX-000215,2019-07-23,2019,7,248950,Terraced,0,West Midlands,WE8
TX-000216,2018-07-05,2018,7,93330,Terraced,0,Northern Ireland,NO15
TX-000217,2019-01-17,2019,1,225480,Flat,0,South East,SO26
TX-000218,2018-12-04,2018,12,348100,Detached,0,Wales,WA1
TX-000219,2024-05-06,2024,5,112107,Terraced,0,North West,NO9
TX-000220,2018-09-11,2018,9,414073,Detached,0,Wales,WA4
TX-000221,2023-04-19,2023,4,216909,Terraced,0,North West,NO13
TX-000222,2023-06-01,2023,6,161326,Terraced,0,North East,NO12
TX-000223,2024-05-03,2024,5,505766,Semi-Detached,0,North West,NO12
TX-000224,2020-03-02,2020,3,1193418,Detached,0,London,LO14
TX-000225,2022-10-04,2022,10,149116,Flat,0,West Midlands,WE15
TX-000226,2024-06-11,2024,6,215067,Terraced,0,South West,SO13
TX-000227,2020-07-13,2020,7,83616,Flat,0,Wales,WA22
TX-000228,2023-04-27,2023,4,717498,Semi-Detached,0,South East,SO29
TX-000229,2020-08-04,2020,8,259018,Semi-Detached,0,North East,NO26
TX-000230,2020-07-13,2020,7,531930,Terraced,0,London,LO7
TX-000231,2018-10-22,2018,10,505699,Detached,0,East of England,EA1
TX-000232,2022-10-22,2022,10,753205,Detached,0,South West,SO22
TX-000233,2021-09-10,2021,9,150316,Terraced,0,West Midlands,WE8
TX-000234,2018-10-24,2018,10,225037,Semi-Detached,0,Yorkshire,YO19
TX-000235,2024-10-05,2024,10,124721,Flat,0,Wales,WA15
TX-000236,2021-02-22,2021,2,526154,Semi-Detached,0,South East,SO16
TX-000237,2020-12-25,2020,12,239752,Semi-Detached,0,East of England,EA25
TX-000238,2020-07-22,2020,7,176180,Terraced,0,Northern Ireland,NO29
TX-000239,2018-11-14,2018,11,127212,Flat,0,Yorkshire,YO4
TX-000240,2018-04-27,2018,4,1356077,Detached,0,London,LO6
TX-000241,2021-01-08,2021,1,188595,Flat,0,East of England,EA6
TX-000242,2020-06-22,2020,6,220673,Semi-Detached,0,North West,NO6
TX-000243,2021-02-22,2021,2,629400,Semi-Detached,0,London,LO12
TX-000244,2022-09-25,2022,9,1007004,Detached,0,London,LO23
TX-000245,2018-12-19,2018,12,53223,Flat,0,Yorkshire,YO8
TX-000246,2021-08-21,2021,8,407883,Terraced,0,London,LO20
TX-000247,2019-08-02,2019,8,163157,Terraced,0,North West,NO29
TX-000248,2018-07-21,2018,7,496750,Semi-Detached,0,London,LO2
TX-000249,2018-01-23,2018,1,132866,Semi-Detached,0,Scotland,SC6
TX-000250,2020-06-12,2020,6,74735,Terraced,0,Scotland,SC15
TX-000251,2023-02-03,2023,2,316726,Terraced,0,South West,SO16
TX-000252,2023-09-27,2023,9,826446,Semi-Detached,0,South East,SO2
TX-000253,2023-04-01,2023,4,352777,Terraced,0,South East,SO4
TX-000254,2018-06-03,2018,6,136090,Flat,0,North West,NO9
TX-000255,2022-05-13,2022,5,514093,Detached,0,Wales,WA28
TX-000256,2021-04-06,2021,4,66190,Semi-Detached,0,North East,NO29
TX-000257,2019-12-25,2019,12,762228,Semi-Detached,0,London,LO2
TX-000258,2019-08-09,2019,8,130034,Semi-Detached,0,West Midlands,WE3
TX-000259,2021-03-08,2021,3,1338939,Detached,0,London,LO17
TX-000260,2021-04-06,2021,4,1167173,Detached,0,South East,SO7
TX-000261,2022-04-22,2022,4,155716,Semi-Detached,0,Yorkshire,YO14
TX-000262,2022-06-27,2022,6,368256,Flat,0,South East,SO21
TX-000263,2024-05-21,2024,5,509854,Terraced,0,London,LO26
TX-000264,2022-05-04,2022,5,175838,Flat,1,South East,SO17
TX-000265,2021-11-28,2021,11,441657,Semi-Detached,0,London,LO18
TX-000266,2018-04-10,2018,4,124987,Flat,0,West Midlands,WE13
TX-000267,2018-08-10,2018,8,433609,Semi-Detached,0,London,LO18
TX-000268,2021-08-02,2021,8,1092533,Semi-Detached,0,London,LO8
TX-000269,2018-01-01,2018,1,207052,Detached,0,Scotland,SC23
TX-000270,2022-08-13,2022,8,388850,Detached,0,North West,NO19
TX-000271,2018-05-20,2018,5,309640,Terraced,1,London,LO15
TX-000272,2020-12-05,2020,12,101213,Semi-Detached,0,Scotland,SC22
TX-000273,2019-06-08,2019,6,431288,Detached,0,Yorkshire,YO25
TX-000274,2024-02-04,2024,2,368337,Detached,0,Northern Ireland,NO14
TX-000275,2018-10-27,2018,10,474026,Semi-Detached,0,London,LO8
TX-000276,2022-05-28,2022,5,411150,Flat,0,London,LO2
TX-000277,2024-01-28,2024,1,302742,Flat,0,London,LO26
TX-000278,2023-04-19,2023,4,164605,Semi-Detached,0,North West,NO14
TX-000279,2022-03-15,2022,3,570712,Terraced,0,London,LO18
TX-000280,2023-05-14,2023,5,119348,Flat,0,North West,NO7
TX-000281,2020-06-02,2020,6,318729,Terraced,0,South East,SO29
TX-000282,2021-11-23,2021,11,80983,Flat,0,North West,NO24
TX-000283,2023-11-23,2023,11,356045,Terraced,0,East of England,EA29
TX-000284,2021-09-10,2021,9,728759,Terraced,0,London,LO26
TX-000285,2018-12-10,2018,12,573949,Terraced,0,London,LO21
TX-000286,2024-11-13,2024,11,347750,Detached,0,Yorkshire,YO9
TX-000287,2023-10-23,2023,10,126044,Terraced,0,East Midlands,EA6
TX-000288,2022-10-20,2022,10,173342,Semi-Detached,0,Wales,WA10
TX-000289,2020-10-06,2020,10,331333,Semi-Detached,0,Scotland,SC14
TX-000290,2018-04-14,2018,4,263438,Semi-Detached,1,East of England,EA3
TX-000291,2019-07-19,2019,7,403176,Terraced,0,London,LO28
TX-000292,2018-03-26,2018,3,255455,Detached,0,Wales,WA6
TX-000293,2021-03-18,2021,3,406018,Semi-Detached,0,South East,SO20
TX-000294,2021-11-22,2021,11,363201,Terraced,0,London,LO13
TX-000295,2023-04-28,2023,4,533835,Semi-Detached,1,South East,SO11
TX-000296,2019-05-18,2019,5,244496,Detached,0,Yorkshire,YO3
TX-000297,2018-06-10,2018,6,294429,Semi-Detached,1,London,LO3
TX-000298,2020-05-17,2020,5,184906,Flat,0,South West,SO21
TX-000299,2022-04-01,2022,4,449166,Detached,0,West Midlands,WE24
TX-000300,2023-09-28,2023,9,328688,Detached,0,Yorkshire,YO25
TX-000301,2018-04-16,2018,4,407036,Detached,1,Yorkshire,YO22
TX-000302,2018-06-24,2018,6,396436,Detached,0,South West,SO11
TX-000303,2019-11-15,2019,11,418125,Detached,0,London,LO18
TX-000304,2020-04-21,2020,4,417951,Detached,1,Yorkshire,YO10
TX-000305,2023-09-19,2023,9,192273,Semi-Detached,0,Wales,WA25
TX-000306,2021-09-21,2021,9,431913,Detached,0,Scotland,SC4
TX-000307,2018-07-28,2018,7,255944,Terraced,0,South West,SO26
TX-000308,2024-06-14,2024,6,210990,Terraced,0,East Midlands,EA6
TX-000309,2019-05-16,2019,5,234922,Detached,0,Wales,WA16
TX-000310,2024-06-06,2024,6,343622,Semi-Detached,0,West Midlands,WE28
TX-000311,2020-03-04,2020,3,209509,Terraced,0,East of England,EA14
TX-000312,2024-08-20,2024,8,310619,Detached,0,Yorkshire,YO28
TX-000313,2022-09-24,2022,9,374458,Terraced,0,South East,SO3
TX-000314,2018-10-20,2018,10,297903,Semi-Detached,0,Scotland,SC23
TX-000315,2019-11-04,2019,11,89088,Terraced,0,Wales,WA5
TX-000316,2024-09-08,2024,9,276611,Semi-Detached,1,North West,NO18
TX-000317,2021-06-18,2021,6,445144,Terraced,1,South East,SO11
TX-000318,2018-12-05,2018,12,149526,Semi-Detached,0,Northern Ireland,NO28
TX-000319,2022-04-01,2022,4,200640,Terraced,0,Wales,WA13
TX-000320,2022-02-27,2022,2,280962,Detached,1,Northern Ireland,NO23
TX-000321,2022-09-28,2022,9,831737,Detached,1,London,LO29
TX-000322,2023-02-25,2023,2,427338,Detached,0,East of England,EA11
TX-000323,2021-12-26,2021,12,280340,Semi-Detached,1,Scotland,SC16
TX-000324,2019-01-09,2019,1,171080,Semi-Detached,0,Yorkshire,YO19
TX-000325,2019-11-11,2019,11,113212,Terraced,0,West Midlands,WE15
TX-000326,2018-04-03,2018,4,408462,Terraced,0,South East,SO8
TX-000327,2024-07-15,2024,7,1365820,Detached,0,London,LO21
TX-000328,2022-05-12,2022,5,407321,Terraced,1,London,LO17
TX-000329,2020-12-23,2020,12,178878,Terraced,0,Yorkshire,YO27
TX-000330,2023-06-03,2023,6,570832,Semi-Detached,0,London,LO19
TX-000331,2023-11-19,2023,11,196907,Semi-Detached,1,Northern Ireland,NO14
TX-000332,2019-03-07,2019,3,120090,Flat,0,Scotland,SC14
TX-000333,2020-12-06,2020,12,141375,Flat,0,Yorkshire,YO21
TX-000334,2018-09-25,2018,9,313465,Detached,0,East Midlands,EA14
TX-000335,2020-09-23,2020,9,290453,Semi-Detached,1,North West,NO16
TX-000336,2018-12-18,2018,12,469856,Terraced,1,South East,SO21
TX-000337,2022-04-09,2022,4,431412,Semi-Detached,0,East Midlands,EA4
TX-000338,2019-08-23,2019,8,110324,Flat,0,Wales,WA15
TX-000339,2023-12-22,2023,12,546153,Semi-Detached,0,London,LO8
TX-000340,2023-04-23,2023,4,125571,Terraced,0,Scotland,SC7
TX-000341,2021-06-08,2021,6,445180,Terraced,1,London,LO23
TX-000342,2023-09-06,2023,9,357385,Detached,0,South West,SO26
TX-000343,2020-12-14,2020,12,130884,Semi-Detached,0,Scotland,SC3
TX-000344,2021-08-17,2021,8,94880,Terraced,0,West Midlands,WE14
TX-000345,2020-04-10,2020,4,1183610,Detached,0,London,LO11
TX-000346,2018-09-17,2018,9,240503,Flat,0,London,LO24
TX-000347,2020-07-13,2020,7,175066,Terraced,1,East Midlands,EA1
TX-000348,2020-12-13,2020,12,154929,Flat,0,South West,SO12
TX-000349,2018-10-23,2018,10,95160,Flat,0,North West,NO17
TX-000350,2019-02-04,2019,2,349455,Detached,0,North West,NO18
TX-000351,2024-12-09,2024,12,464010,Terraced,0,London,LO7
TX-000352,2022-09-13,2022,9,359658,Terraced,1,South West,SO10
TX-000353,2020-06-21,2020,6,342138,Detached,0,West Midlands,WE2
TX-000354,2020-08-12,2020,8,118988,Flat,0,East Midlands,EA3
TX-000355,2024-10-24,2024,10,131053,Flat,0,West Midlands,WE25
TX-000356,2022-06-13,2022,6,402791,Flat,0,London,LO23
TX-000357,2023-10-12,2023,10,164518,Terraced,0,East Midlands,EA15
TX-000358,2024-08-27,2024,8,91095,Flat,0,Yorkshire,YO25
TX-000359,2021-01-05,2021,1,323986,Terraced,0,London,LO24
TX-000360,2024-04-18,2024,4,250035,Semi-Detached,0,Yorkshire,YO28
TX-000361,2024-11-02,2024,11,918042,Semi-Detached,0,London,LO16
TX-000362,2021-06-13,2021,6,324055,Semi-Detached,0,South East,SO18
TX-000363,2020-03-27,2020,3,112937,Flat,0,West Midlands,WE10
TX-000364,2023-11-10,2023,11,584597,Detached,0,South West,SO5
TX-000365,2022-10-09,2022,10,109950,Semi-Detached,1,Wales,WA17
TX-000366,2020-04-22,2020,4,592754,Detached,1,London,LO4
TX-000367,2018-01-03,2018,1,109206,Terraced,0,Northern Ireland,NO10
TX-000368,2022-03-12,2022,3,315517,Detached,0,Wales,WA21
TX-000369,2024-04-15,2024,4,165127,Semi-Detached,0,Northern Ireland,NO2
TX-000370,2020-01-22,2020,1,188609,Terraced,0,West Midlands,WE25
TX-000371,2020-05-22,2020,5,120181,Terraced,0,North East,NO19
TX-000372,2020-05-15,2020,5,390684,Terraced,0,London,LO12
TX-000373,2023-11-26,2023,11,483087,Terraced,0,London,LO12
TX-000374,2020-03-20,2020,3,118624,Terraced,0,Northern Ireland,NO6
TX-000375,2019-04-11,2019,4,277212,Semi-Detached,0,East Midlands,EA25
TX-000376,2018-03-28,2018,3,134948,Flat,0,South West,SO19
TX-000377,2024-04-13,2024,4,150430,Flat,0,North West,NO17
TX-000378,2018-08-27,2018,8,319258,Detached,1,North West,NO5
TX-000379,2023-07-22,2023,7,762612,Detached,0,West Midlands,WE10
TX-000380,2023-05-24,2023,5,570805,Semi-Detached,0,London,LO3
TX-000381,2018-03-07,2018,3,274520,Flat,0,South East,SO3
