customer_id,age,gender,region,primary_product,tenure_months,monthly_transactions,avg_balance_gbp,num_products,has_credit_card,num_support_tickets,app_logins_per_month,referral_source,satisfaction_score,churned,tenure_cohort,product_encoded,region_encoded,source_encoded,churn_risk_score,risk_segment
CUST-00024,18,Male,South West,Savings,20,17,2105.61,3,1,2,11,Referral,2,0,1-2yr,4,7,2,0.03097237698949014,Low Risk
CUST-00025,28,Female,Yorkshire,Current Account,2,15,3810.83,1,1,1,9,Organic,1,1,0-6m,2,9,0,0.12875269691226143,Low Risk
CUST-00026,36,Male,North West,Current Account,5,17,4808.04,2,0,2,7,Organic,5,0,0-6m,2,3,0,0.027276943338884613,Low Risk
CUST-00027,21,Male,Northern Ireland,Business Account,6,15,2895.26,1,1,0,19,Social Media,1,0,0-6m,0,4,3,0.06910635854313954,Low Risk
CUST-00028,39,Male,Midlands,Current Account,16,7,2074.76,2,0,3,12,Referral,5,0,1-2yr,2,2,2,0.01477931934868491,Low Risk
CUST-00029,27,Female,London,Savings,31,11,5173.0,1,0,4,14,Social Media,3,0,2-4yr,4,1,3,0.018945249626215875,Low Risk
CUST-00030,31,Male,South East,Savings,14,15,9985.31,1,0,2,12,Organic,4,0,1-2yr,4,6,0,0.014845031486230254,Low Risk
CUST-00031,27,Female,Yorkshire,Current Account,3,12,802.71,2,1,1,15,Paid Ads,5,0,0-6m,2,9,1,0.008283800122740806,Low Risk
CUST-00032,57,Male,East of England,Current Account,13,10,4556.51,1,1,1,15,Organic,3,0,1-2yr,2,0,0,0.037288069773300604,Low Risk
CUST-00033,34,Female,London,Current Account,4,13,854.9,3,0,3,13,Social Media,5,0,0-6m,2,1,3,0.012753019543941231,Low Risk
CUST-00034,22,Male,London,Investment ISA,33,15,2351.58,1,1,4,10,Referral,4,0,2-4yr,3,1,2,0.019090268567716704,Low Risk
CUST-00035,44,Male,Wales,Savings,4,21,6525.34,2,0,2,12,Social Media,4,0,0-6m,4,8,3,0.021640833959039565,Low Risk
CUST-00036,20,Male,East of England,Crypto Wallet,15,13,1301.92,3,0,1,8,Organic,3,0,1-2yr,1,0,0,0.014393198969210848,Low Risk
CUST-00037,37,Female,South East,Investment ISA,28,19,576.81,1,1,2,10,Organic,3,0,2-4yr,3,6,0,0.016291816342640267,Low Risk
CUST-00038,18,Male,North West,Current Account,6,11,1042.05,4,1,1,17,Social Media,3,0,0-6m,2,3,3,0.03000945316784104,Low Risk
CUST-00039,19,Female,Scotland,Savings,1,16,576.14,1,0,1,18,Organic,5,0,0-6m,4,5,0,0.027223542796309785,Low Risk
CUST-00040,37,Female,South East,Investment ISA,19,18,498.17,4,1,1,10,Referral,3,0,1-2yr,3,6,2,0.01752980298005168,Low Risk
CUST-00041,43,Female,Wales,Investment ISA,1,21,7691.63,1,0,1,16,Social Media,5,0,0-6m,3,8,3,0.015486341697271266,Low Risk
CUST-00042,37,Male,London,Investment ISA,21,16,3424.96,3,0,1,14,Organic,2,0,1-2yr,3,1,0,0.04016481642722902,Low Risk
CUST-00043,33,Male,London,Investment ISA,33,12,762.45,1,1,1,9,Paid Ads,5,0,2-4yr,3,1,1,0.013113111767436231,Low Risk
CUST-00044,31,Male,London,Current Account,9,18,554.87,2,0,3,9,Referral,2,0,6-12m,2,1,2,0.04578330354699847,Low Risk
CUST-00045,18,Female,South East,Investment ISA,16,14,602.76,2,1,2,11,Referral,3,0,1-2yr,3,6,2,0.01865854038680775,Low Risk
CUST-00046,26,Female,London,Current Account,63,20,762.29,2,1,1,12,Referral,3,0,4yr+,2,1,2,0.009997976220839923,Low Risk
CUST-00047,29,Female,London,Savings,15,19,7209.75,1,1,3,10,Referral,5,0,1-2yr,4,1,2,0.02356506642388854,Low Risk
CUST-00048,47,Female,Yorkshire,Current Account,120,20,1584.29,3,0,1,9,Social Media,4,0,4yr+,2,9,3,0.008320467949427247,Low Risk
CUST-00049,39,Male,London,Crypto Wallet,4,15,23340.31,3,0,6,7,Organic,4,0,0-6m,1,1,0,0.048004138137571054,Low Risk
CUST-00050,18,Male,East of England,Savings,29,17,1723.85,1,1,1,10,Paid Ads,5,0,2-4yr,4,0,1,0.024582505221774405,Low Risk
CUST-00051,38,Female,North West,Investment ISA,25,15,906.17,2,1,1,6,Referral,5,0,2-4yr,3,3,2,0.01549425582870292,Low Risk
CUST-00052,30,Male,Scotland,Crypto Wallet,49,21,5504.51,2,1,1,13,Social Media,1,0,4yr+,1,5,3,0.03219771392552904,Low Risk
CUST-00053,26,Male,South East,Crypto Wallet,2,10,243.67,2,0,3,13,Paid Ads,3,0,0-6m,1,6,1,0.08575361901071744,Low Risk
CUST-00054,42,Female,South East,Investment ISA,7,16,2266.83,1,0,1,8,Paid Ads,3,0,6-12m,3,6,1,0.060028664132039326,Low Risk
CUST-00055,47,Male,Midlands,Current Account,3,16,422.16,3,1,0,16,Paid Ads,5,0,0-6m,2,2,1,0.02235288057781037,Low Risk
CUST-00056,46,Female,Midlands,Crypto Wallet,64,16,131.82,3,1,2,17,Organic,1,0,4yr+,1,2,0,0.0923409534506469,Low Risk
CUST-00057,24,Female,South West,Investment ISA,13,15,1569.99,2,1,1,15,Paid Ads,1,0,1-2yr,3,7,1,0.04524646140873683,Low Risk
CUST-00058,31,Female,Yorkshire,Investment ISA,57,16,4923.29,3,1,1,17,Referral,3,0,4yr+,3,9,2,0.030158303441681675,Low Risk
CUST-00059,38,Male,Scotland,Business Account,8,17,2337.21,4,1,2,4,Organic,3,0,6-12m,0,5,0,0.03896813060656552,Low Risk
CUST-00060,46,Male,North West,Current Account,3,16,2023.29,4,1,5,12,Paid Ads,3,0,0-6m,2,3,1,0.017614587733094288,Low Risk
CUST-00061,29,Female,East of England,Current Account,8,18,79.95,2,0,7,10,Social Media,2,0,6-12m,2,0,3,0.15828933268081724,Low Risk
CUST-00062,32,Male,Scotland,Savings,21,13,1501.24,2,0,2,15,Social Media,4,0,1-2yr,4,5,3,0.006048218010703641,Low Risk
CUST-00063,21,Male,Northern Ireland,Crypto Wallet,44,18,1518.95,2,0,0,15,Paid Ads,3,0,2-4yr,1,4,1,0.012172121546584267,Low Risk
CUST-00064,20,Male,South West,Savings,11,15,3810.49,2,0,1,16,Organic,4,0,6-12m,4,7,0,0.008594099485663052,Low Risk
CUST-00065,44,Male,London,Investment ISA,59,17,507.88,2,0,4,8,Social Media,4,0,4yr+,3,1,3,0.00804797714011629,Low Risk
CUST-00066,51,Male,South East,Savings,6,15,4893.13,3,1,5,11,Organic,5,0,0-6m,4,6,0,0.015229385379897709,Low Risk
CUST-00067,34,Female,Midlands,Investment ISA,28,11,981.17,4,0,1,12,Social Media,3,0,2-4yr,3,2,3,0.012346863103565317,Low Risk
CUST-00068,47,Male,Yorkshire,Crypto Wallet,31,10,1262.49,1,1,1,10,Social Media,5,0,2-4yr,1,9,3,0.027027830919375995,Low Risk
CUST-00069,39,Male,Midlands,Current Account,7,16,3406.8,1,0,4,9,Social Media,4,0,6-12m,2,2,3,0.024649431159646254,Low Risk
CUST-00070,27,Female,South West,Investment ISA,1,16,433.85,1,0,3,17,Paid Ads,5,0,0-6m,3,7,1,0.01504361911805252,Low Risk
CUST-00071,39,Non-binary,South East,Crypto Wallet,10,13,4861.23,3,1,2,10,Paid Ads,4,0,6-12m,1,6,1,0.01379010344197214,Low Risk
CUST-00072,53,Male,London,Savings,1,12,355.82,2,0,1,15,Referral,3,0,0-6m,4,1,2,0.03072818857968718,Low Risk
CUST-00073,34,Male,London,Current Account,55,17,3968.77,2,1,4,11,Paid Ads,3,0,4yr+,2,1,1,0.009433103602157645,Low Risk
CUST-00074,53,Female,Midlands,Current Account,73,18,1362.99,2,0,1,5,Organic,3,0,4yr+,2,2,0,0.005896811879759151,Low Risk
CUST-00075,18,Female,Yorkshire,Crypto Wallet,31,13,1503.39,3,0,3,9,Paid Ads,4,1,2-4yr,1,9,1,0.021613004058763364,Low Risk
CUST-00076,44,Female,South East,Current Account,31,16,45.69,2,0,1,15,Organic,3,0,2-4yr,2,6,0,0.0837810816194616,Low Risk
CUST-00077,36,Female,Scotland,Savings,6,21,889.88,2,0,2,17,Organic,3,0,0-6m,4,5,0,0.023028138583824808,Low Risk
CUST-00078,31,Male,London,Current Account,1,15,1404.92,1,0,3,12,Organic,3,0,0-6m,2,1,0,0.04998057958016404,Low Risk
CUST-00079,36,Female,London,Savings,38,23,11595.23,2,1,2,7,Paid Ads,5,0,2-4yr,4,1,1,0.01433624186536399,Low Risk
CUST-00080,18,Male,Yorkshire,Investment ISA,19,17,1731.76,1,1,2,9,Social Media,5,0,1-2yr,3,9,3,0.041336521614102874,Low Risk
CUST-00081,32,Female,North West,Crypto Wallet,27,15,825.87,3,0,2,10,Referral,4,0,2-4yr,1,3,2,0.008753696787875602,Low Risk
CUST-00082,39,Female,Scotland,Savings,36,14,4916.69,3,1,2,8,Organic,4,0,2-4yr,4,5,0,0.01362473899963077,Low Risk
CUST-00083,52,Non-binary,South West,Investment ISA,12,11,986.15,1,0,5,11,Social Media,4,0,6-12m,3,7,3,0.020415489580083303,Low Risk
CUST-00084,28,Male,Wales,Investment ISA,3,12,6239.5,1,1,1,9,Organic,4,0,0-6m,3,8,0,0.019220914609656553,Low Risk
CUST-00085,25,Male,London,Current Account,38,13,2474.07,1,1,0,8,Paid Ads,5,0,2-4yr,2,1,1,0.01919308619604748,Low Risk
CUST-00086,28,Female,Midlands,Current Account,14,9,614.33,1,1,0,15,Referral,4,0,1-2yr,2,2,2,0.020503269049218637,Low Risk
CUST-00087,45,Female,Yorkshire,Crypto Wallet,42,17,5571.61,3,0,0,20,Paid Ads,5,0,2-4yr,1,9,1,0.016164360625094184,Low Risk
CUST-00088,38,Female,South West,Investment ISA,13,16,3719.12,4,1,1,19,Referral,5,0,1-2yr,3,7,2,0.010255987478422981,Low Risk
CUST-00089,28,Male,South West,Investment ISA,5,17,5296.75,2,1,0,8,Organic,5,0,0-6m,3,7,0,0.022652723811953088,Low Risk
CUST-00090,41,Male,South East,Current Account,4,21,1453.11,1,0,0,10,Paid Ads,5,0,0-6m,2,6,1,0.018158444258859423,Low Risk
CUST-00091,36,Female,London,Crypto Wallet,32,13,3719.55,2,0,0,16,Paid Ads,3,0,2-4yr,1,1,1,0.011165203719413668,Low Risk
CUST-00092,46,Male,Scotland,Savings,20,17,18116.64,3,1,3,15,Organic,4,0,1-2yr,4,5,0,0.01864743066246404,Low Risk
CUST-00093,26,Female,Yorkshire,Crypto Wallet,12,20,2220.93,4,1,1,15,Paid Ads,3,0,6-12m,1,9,1,0.0077171808378979825,Low Risk
CUST-00094,31,Male,South East,Business Account,16,18,1120.61,1,0,4,9,Paid Ads,4,0,1-2yr,0,6,1,0.01635388360219127,Low Risk
CUST-00095,30,Female,London,Business Account,19,14,11530.51,2,1,4,19,Organic,3,0,1-2yr,0,1,0,0.012362679349554831,Low Risk
CUST-00096,18,Female,Yorkshire,Crypto Wallet,6,8,4026.01,2,1,2,5,Paid Ads,3,0,0-6m,1,9,1,0.0604174493435524,Low Risk
CUST-00097,38,Female,South East,Current Account,11,13,1053.02,2,0,1,5,Organic,5,0,6-12m,2,6,0,0.014467217985014888,Low Risk
CUST-00098,38,Male,London,Crypto Wallet,8,15,14503.6,2,1,2,14,Paid Ads,4,0,6-12m,1,1,1,0.03296027095692447,Low Risk
CUST-00099,35,Female,London,Current Account,11,10,426.62,2,0,1,11,Paid Ads,3,0,6-12m,2,1,1,0.051959678529289934,Low Risk
CUST-00100,32,Male,South East,Crypto Wallet,16,14,3411.81,1,0,0,4,Referral,3,0,1-2yr,1,6,2,0.056845175008159714,Low Risk
CUST-00101,18,Female,Scotland,Current Account,4,20,7156.57,1,0,1,9,Organic,3,1,0-6m,2,5,0,0.3158265510821944,Medium Risk
CUST-00102,29,Male,South East,Investment ISA,12,12,6542.63,2,0,1,13,Organic,3,0,6-12m,3,6,0,0.020719839273340788,Low Risk
CUST-00103,30,Male,London,Current Account,11,13,614.03,3,1,1,15,Referral,2,0,6-12m,2,1,2,0.009273037421893122,Low Risk
CUST-00104,25,Male,London,Crypto Wallet,8,16,408.02,1,0,3,9,Referral,5,0,6-12m,1,1,2,0.048825476433452836,Low Risk
CUST-00105,33,Male,South East,Current Account,120,16,2381.31,3,1,5,10,Organic,3,0,4yr+,2,6,0,0.008600632164097725,Low Risk
CUST-00106,39,Non-binary,Scotland,Savings,1,19,4212.02,1,0,1,11,Paid Ads,4,0,0-6m,4,5,1,0.026650997170414015,Low Risk
CUST-00107,57,Male,London,Crypto Wallet,24,12,495.94,1,0,1,19,Paid Ads,4,0,1-2yr,1,1,1,0.02769383244045079,Low Risk
CUST-00108,37,Female,Midlands,Investment ISA,4,10,2597.07,4,1,2,11,Paid Ads,4,0,0-6m,3,2,1,0.011862449603996872,Low Risk
CUST-00109,38,Non-binary,London,Current Account,43,22,314.51,2,1,0,14,Organic,4,0,2-4yr,2,1,0,0.025782473665466134,Low Risk
CUST-00110,34,Male,London,Savings,58,12,6457.6,3,1,2,8,Paid Ads,5,0,4yr+,4,1,1,0.019560101523626656,Low Risk
CUST-00111,18,Female,London,Current Account,12,12,910.93,2,1,1,12,Referral,3,0,6-12m,2,1,2,0.03489492750629022,Low Risk
CUST-00112,34,Male,London,Investment ISA,41,21,1485.0,1,0,1,12,Social Media,5,0,2-4yr,3,1,3,0.010768372583252871,Low Risk
CUST-00113,35,Male,Scotland,Business Account,6,9,5100.94,2,0,1,8,Referral,5,0,0-6m,0,5,2,0.02228699024753803,Low Risk
CUST-00114,64,Male,North West,Investment ISA,3,16,4561.67,2,0,1,9,Organic,3,0,0-6m,3,3,0,0.021466220470407485,Low Risk
CUST-00115,32,Female,South West,Current Account,9,17,3193.06,3,1,2,10,Social Media,4,0,6-12m,2,7,3,0.009112920189610726,Low Risk
CUST-00116,38,Male,London,Savings,10,21,6219.09,2,1,3,12,Organic,3,0,6-12m,4,1,0,0.045582066996377985,Low Risk
CUST-00117,34,Female,London,Business Account,12,12,2953.82,3,0,3,7,Referral,4,0,6-12m,0,1,2,0.015454342423766834,Low Risk
CUST-00118,20,Female,South East,Current Account,11,11,10270.59,3,0,2,11,Organic,3,0,6-12m,2,6,0,0.013764978428455112,Low Risk
CUST-00119,48,Female,South West,Savings,12,14,232.07,3,1,1,5,Referral,3,0,6-12m,4,7,2,0.047535084685932975,Low Risk
CUST-00120,44,Male,South East,Savings,29,10,1683.31,2,0,1,6,Social Media,4,0,2-4yr,4,6,3,0.019342019558267313,Low Risk
CUST-00121,44,Female,North West,Crypto Wallet,6,13,1599.62,1,0,2,11,Social Media,4,0,0-6m,1,3,3,0.022466674498033662,Low Risk
CUST-00122,24,Female,South East,Crypto Wallet,1,9,1390.24,3,0,3,10,Organic,4,0,0-6m,1,6,0,0.013935393599078668,Low Risk
CUST-00123,51,Female,London,Current Account,16,12,3284.32,1,1,2,14,Paid Ads,4,0,1-2yr,2,1,1,0.012742289955310671,Low Risk
CUST-00124,18,Female,East of England,Investment ISA,14,6,2337.4,1,1,3,6,Paid Ads,5,0,1-2yr,3,0,1,0.02892168475462453,Low Risk
CUST-00125,42,Female,Midlands,Savings,1,15,4864.82,1,1,1,15,Organic,1,0,0-6m,4,2,0,0.18753409890463993,Low Risk
CUST-00126,61,Male,South West,Current Account,3,24,436.75,1,0,1,14,Referral,5,0,0-6m,2,7,2,0.016720730974127462,Low Risk
CUST-00127,23,Male,Scotland,Current Account,17,18,28301.04,2,0,1,12,Paid Ads,5,0,1-2yr,2,5,1,0.011535516487511444,Low Risk
CUST-00128,28,Male,Midlands,Savings,6,16,1130.97,4,0,0,13,Paid Ads,3,0,0-6m,4,2,1,0.012046814169374483,Low Risk
CUST-00129,36,Male,London,Current Account,50,19,2550.66,1,1,2,10,Referral,2,0,4yr+,2,1,2,0.027944548825629547,Low Risk
CUST-00130,28,Male,Scotland,Crypto Wallet,4,20,1411.64,3,1,4,15,Referral,5,0,0-6m,1,5,2,0.0065549925395560595,Low Risk
CUST-00131,18,Male,London,Current Account,1,12,1992.77,1,0,1,8,Social Media,4,0,0-6m,2,1,3,0.045005612618758545,Low Risk
CUST-00132,35,Male,North West,Current Account,14,13,951.56,2,0,1,13,Paid Ads,4,0,1-2yr,2,3,1,0.014096028213353168,Low Risk
CUST-00133,22,Non-binary,Scotland,Current Account,102,9,2314.53,3,1,2,15,Social Media,5,0,4yr+,2,5,3,0.009699316082189375,Low Risk
CUST-00134,40,Male,South West,Current Account,24,17,3626.84,3,0,1,10,Social Media,3,0,1-2yr,2,7,3,0.017346400329232115,Low Risk
CUST-00135,23,Female,Yorkshire,Savings,10,25,101.28,1,0,3,11,Paid Ads,3,0,6-12m,4,9,1,0.09835263898844575,Low Risk
CUST-00136,53,Female,Scotland,Savings,1,20,1218.95,1,0,3,12,Organic,4,0,0-6m,4,5,0,0.011940795504770025,Low Risk
CUST-00137,25,Female,London,Investment ISA,15,14,1164.57,4,1,3,20,Organic,3,0,1-2yr,3,1,0,0.005526514036248419,Low Risk
CUST-00138,31,Female,South East,Business Account,5,17,29298.22,1,1,1,10,Paid Ads,3,0,0-6m,0,6,1,0.03574429245131051,Low Risk
CUST-00139,44,Male,London,Crypto Wallet,25,14,5075.02,1,0,3,10,Paid Ads,4,0,2-4yr,1,1,1,0.0220629642766716,Low Risk
CUST-00140,20,Male,Yorkshire,Current Account,20,14,10938.8,2,0,0,7,Social Media,4,0,1-2yr,2,9,3,0.01780390979322559,Low Risk
CUST-00141,37,Male,Northern Ireland,Business Account,7,8,3532.42,3,0,2,15,Social Media,4,0,6-12m,0,4,3,0.02337738179492475,Low Risk
CUST-00142,50,Male,South East,Savings,1,10,1995.86,2,0,0,13,Social Media,4,0,0-6m,4,6,3,0.014451180362919617,Low Risk
CUST-00143,18,Female,London,Savings,33,14,2798.92,2,1,2,16,Referral,3,0,2-4yr,4,1,2,0.01015376170343952,Low Risk
CUST-00144,37,Female,North West,Savings,21,15,6957.46,2,0,3,9,Organic,3,0,1-2yr,4,3,0,0.020494253149422978,Low Risk
CUST-00145,38,Male,Wales,Current Account,44,13,14766.88,3,0,1,10,Paid Ads,2,0,2-4yr,2,8,1,0.03008229912935922,Low Risk
CUST-00146,44,Male,Midlands,Crypto Wallet,7,15,2597.91,1,1,2,9,Social Media,1,0,6-12m,1,2,3,0.061739571710734555,Low Risk
CUST-00147,20,Male,London,Current Account,25,18,856.18,1,0,1,12,Paid Ads,5,0,2-4yr,2,1,1,0.014985717273424515,Low Risk
CUST-00148,19,Male,Northern Ireland,Savings,3,14,5483.45,1,0,3,7,Referral,2,0,0-6m,4,4,2,0.1118630773743104,Low Risk
CUST-00149,41,Female,South West,Current Account,8,12,649.49,1,0,3,9,Referral,4,0,6-12m,2,7,2,0.039102365323541007,Low Risk
CUST-00150,38,Male,London,Crypto Wallet,25,11,2888.46,1,1,3,16,Social Media,3,0,2-4yr,1,1,3,0.028149646981574447,Low Risk
CUST-00151,38,Female,East of England,Crypto Wallet,41,21,4095.22,3,0,2,11,Paid Ads,4,0,2-4yr,1,0,1,0.023213509116463565,Low Risk
CUST-00152,39,Male,North West,Current Account,9,17,1588.12,3,1,1,11,Referral,4,0,6-12m,2,3,2,0.023353350701167244,Low Risk
CUST-00153,26,Male,North West,Investment ISA,38,15,610.46,3,0,4,11,Organic,5,0,2-4yr,3,3,0,0.006245284645143893,Low Risk
CUST-00154,37,Female,North West,Investment ISA,27,14,1047.89,1,1,1,9,Paid Ads,2,0,2-4yr,3,3,1,0.028161583519714463,Low Risk
CUST-00155,38,Female,South West,Savings,10,13,1236.82,2,0,4,19,Social Media,2,0,6-12m,4,7,3,0.06652673302630101,Low Risk
CUST-00156,26,Non-binary,Scotland,Investment ISA,50,20,510.65,2,0,5,11,Referral,5,0,4yr+,3,5,2,0.018313274643970572,Low Risk
CUST-00157,57,Female,London,Savings,17,17,1137.61,3,1,4,16,Paid Ads,5,0,1-2yr,4,1,1,0.013958441758677036,Low Risk
CUST-00158,40,Male,Northern Ireland,Current Account,25,12,316.6,4,1,1,12,Referral,3,0,2-4yr,2,4,2,0.02363405375734466,Low Risk
CUST-00159,20,Male,London,Investment ISA,16,21,3675.17,3,0,3,12,Organic,3,0,1-2yr,3,1,0,0.009930674865672897,Low Risk
CUST-00160,42,Female,Yorkshire,Savings,14,19,2697.31,2,1,0,12,Social Media,5,0,1-2yr,4,9,3,0.022745349994296032,Low Risk
CUST-00161,23,Female,Scotland,Savings,45,18,2487.01,2,0,1,16,Social Media,5,0,2-4yr,4,5,3,0.0058003228877188265,Low Risk
CUST-00162,44,Female,London,Crypto Wallet,8,8,1137.88,3,0,3,11,Referral,3,0,6-12m,1,1,2,0.03373253285966483,Low Risk
CUST-00163,48,Male,London,Current Account,1,10,1336.14,1,1,2,6,Paid Ads,4,0,0-6m,2,1,1,0.03105917764211826,Low Risk
CUST-00164,25,Non-binary,Wales,Current Account,50,12,668.65,1,1,2,6,Organic,3,0,4yr+,2,8,0,0.030350306788468208,Low Risk
CUST-00165,46,Male,North West,Current Account,41,13,3314.97,1,0,2,14,Social Media,4,0,2-4yr,2,3,3,0.010997206906293348,Low Risk
CUST-00166,39,Female,Scotland,Current Account,10,16,354.46,3,0,3,2,Organic,4,0,6-12m,2,5,0,0.10738154267588945,Low Risk
CUST-00167,44,Female,Midlands,Current Account,4,17,1999.23,1,0,1,10,Social Media,3,0,0-6m,2,2,3,0.051319723434166534,Low Risk
CUST-00168,57,Male,Yorkshire,Business Account,27,11,845.19,1,0,1,13,Referral,2,0,2-4yr,0,9,2,0.07082544617948898,Low Risk
CUST-00169,32,Female,North West,Current Account,1,21,14894.87,1,0,2,10,Organic,5,0,0-6m,2,3,0,0.035754996920450505,Low Risk
CUST-00170,25,Male,South East,Investment ISA,13,18,3402.07,2,0,1,18,Organic,4,0,1-2yr,3,6,0,0.011542415331457678,Low Risk
CUST-00171,24,Non-binary,North West,Current Account,2,19,1807.08,2,1,3,14,Referral,4,0,0-6m,2,3,2,0.012555206755041229,Low Risk
CUST-00172,25,Male,Wales,Investment ISA,21,16,479.51,3,0,3,6,Social Media,5,0,1-2yr,3,8,3,0.012770451413029453,Low Risk
CUST-00173,34,Female,North West,Business Account,1,13,352.05,2,0,1,13,Organic,1,0,0-6m,0,3,0,0.1117373758446025,Low Risk
CUST-00174,39,Male,London,Current Account,23,15,3277.91,4,1,4,11,Organic,4,0,1-2yr,2,1,0,0.013531711088571555,Low Risk
CUST-00175,38,Female,East of England,Crypto Wallet,26,16,15655.14,1,1,1,11,Referral,1,0,2-4yr,1,0,2,0.06611208527969709,Low Risk
CUST-00176,44,Female,South West,Business Account,16,22,2953.49,2,0,1,13,Referral,4,0,1-2yr,0,7,2,0.017969572030493965,Low Risk
CUST-00177,35,Male,London,Savings,4,9,2231.32,2,0,2,6,Social Media,3,0,0-6m,4,1,3,0.031157229074531112,Low Risk
CUST-00178,52,Male,Northern Ireland,Current Account,2,14,2270.37,1,0,3,9,Social Media,5,0,0-6m,2,4,3,0.013558548836477745,Low Risk
CUST-00179,31,Female,Yorkshire,Investment ISA,9,15,2045.96,1,1,2,17,Referral,5,0,6-12m,3,9,2,0.012814118112193254,Low Risk
CUST-00180,67,Male,London,Crypto Wallet,15,16,2307.7,1,0,0,10,Organic,4,0,1-2yr,1,1,0,0.01015198386907898,Low Risk
CUST-00181,42,Female,South East,Current Account,24,19,794.58,3,1,2,12,Referral,3,0,1-2yr,2,6,2,0.010120367502247672,Low Risk
CUST-00182,24,Male,Yorkshire,Savings,1,24,562.12,1,1,3,11,Organic,3,0,0-6m,4,9,0,0.03663134439894692,Low Risk
CUST-00183,22,Female,South West,Current Account,29,13,2061.27,1,1,6,13,Organic,5,0,2-4yr,2,7,0,0.027493392783367265,Low Risk
CUST-00184,40,Male,South East,Current Account,29,12,10851.96,2,0,1,16,Referral,3,0,2-4yr,2,6,2,0.02100964055339486,Low Risk
CUST-00185,32,Male,South East,Crypto Wallet,14,13,4593.68,2,0,5,8,Paid Ads,5,0,1-2yr,1,6,1,0.02247488345805864,Low Risk
CUST-00186,43,Male,South East,Savings,10,16,411.53,1,0,0,13,Referral,5,0,6-12m,4,6,2,0.03134369226394548,Low Risk
