customer_id,age,gender,region,primary_product,tenure_months,monthly_transactions,avg_balance_gbp,num_products,has_credit_card,num_support_tickets,app_logins_per_month,referral_source,satisfaction_score,churned
CUST-00039,19,Female,Scotland,Savings,1,16,576.14,1,0,1,18,Organic,5,0
CUST-00040,37,Female,South East,Investment ISA,19,18,498.17,4,1,1,10,Referral,3,0
CUST-00041,43,Female,Wales,Investment ISA,1,21,7691.63,1,0,1,16,Social Media,5,0
CUST-00042,37,Male,London,Investment ISA,21,16,3424.96,3,0,1,14,Organic,2,0
CUST-00043,33,Male,London,Investment ISA,33,12,762.45,1,1,1,9,Paid Ads,5,0
CUST-00044,31,Male,London,Current Account,9,18,554.87,2,0,3,9,Referral,2,0
CUST-00045,18,Female,South East,Investment ISA,16,14,602.76,2,1,2,11,Referral,3,0
CUST-00046,26,Female,London,Current Account,63,20,762.29,2,1,1,12,Referral,3,0
CUST-00047,29,Female,London,Savings,15,19,7209.75,1,1,3,10,Referral,5,0
CUST-00048,47,Female,Yorkshire,Current Account,120,20,1584.29,3,0,1,9,Social Media,4,0
CUST-00049,39,Male,London,Crypto Wallet,4,15,23340.31,3,0,6,7,Organic,4,0
CUST-00050,18,Male,East of England,Savings,29,17,1723.85,1,1,1,10,Paid Ads,5,0
CUST-00051,38,Female,North West,Investment ISA,25,15,906.17,2,1,1,6,Referral,5,0
CUST-00052,30,Male,Scotland,Crypto Wallet,49,21,5504.51,2,1,1,13,Social Media,1,0
CUST-00053,26,Male,South East,Crypto Wallet,2,10,243.67,2,0,3,13,Paid Ads,3,0
CUST-00054,42,Female,South East,Investment ISA,7,16,2266.83,1,0,1,8,Paid Ads,3,0
CUST-00055,47,Male,Midlands,Current Account,3,16,422.16,3,1,0,16,Paid Ads,5,0
CUST-00056,46,Female,Midlands,Crypto Wallet,64,16,131.82,3,1,2,17,Organic,1,0
CUST-00057,24,Female,South West,Investment ISA,13,15,1569.99,2,1,1,15,Paid Ads,1,0
CUST-00058,31,Female,Yorkshire,Investment ISA,57,16,4923.29,3,1,1,17,Referral,3,0
CUST-00059,38,Male,Scotland,Business Account,8,17,2337.21,4,1,2,4,Organic,3,0
CUST-00060,46,Male,North West,Current Account,3,16,2023.29,4,1,5,12,Paid Ads,3,0
CUST-00061,29,Female,East of England,Current Account,8,18,79.95,2,0,7,10,Social Media,2,0
CUST-00062,32,Male,Scotland,Savings,21,13,1501.24,2,0,2,15,Social Media,4,0
CUST-00063,21,Male,Northern Ireland,Crypto Wallet,44,18,1518.95,2,0,0,15,Paid Ads,3,0
CUST-00064,20,Male,South West,Savings,11,15,3810.49,2,0,1,16,Organic,4,0
CUST-00065,44,Male,London,Investment ISA,59,17,507.88,2,0,4,8,Social Media,4,0
CUST-00066,51,Male,South East,Savings,6,15,4893.13,3,1,5,11,Organic,5,0
CUST-00067,34,Female,Midlands,Investment ISA,28,11,981.17,4,0,1,12,Social Media,3,0
CUST-00068,47,Male,Yorkshire,Crypto Wallet,31,10,1262.49,1,1,1,10,Social Media,5,0
CUST-00069,39,Male,Midlands,Current Account,7,16,3406.8,1,0,4,9,Social Media,4,0
CUST-00070,27,Female,South West,Investment ISA,1,16,433.85,1,0,3,17,Paid Ads,5,0
CUST-00071,39,Non-binary,South East,Crypto Wallet,10,13,4861.23,3,1,2,10,Paid Ads,4,0
CUST-00072,53,Male,London,Savings,1,12,355.82,2,0,1,15,Referral,3,0
CUST-00073,34,Male,London,Current Account,55,17,3968.77,2,1,4,11,Paid Ads,3,0
CUST-00074,53,Female,Midlands,Current Account,73,18,1362.99,2,0,1,5,Organic,3,0
CUST-00075,18,Female,Yorkshire,Crypto Wallet,31,13,1503.39,3,0,3,9,Paid Ads,4,1
CUST-00076,44,Female,South East,Current Account,31,16,45.69,2,0,1,15,Organic,3,0
CUST-00077,36,Female,Scotland,Savings,6,21,889.88,2,0,2,17,Organic,3,0
CUST-00078,31,Male,London,Current Account,1,15,1404.92,1,0,3,12,Organic,3,0
CUST-00079,36,Female,London,Savings,38,23,11595.23,2,1,2,7,Paid Ads,5,0
CUST-00080,18,Male,Yorkshire,Investment ISA,19,17,1731.76,1,1,2,9,Social Media,5,0
CUST-00081,32,Female,North West,Crypto Wallet,27,15,825.87,3,0,2,10,Referral,4,0
CUST-00082,39,Female,Scotland,Savings,36,14,4916.69,3,1,2,8,Organic,4,0
CUST-00083,52,Non-binary,South West,Investment ISA,12,11,986.15,1,0,5,11,Social Media,4,0
CUST-00084,28,Male,Wales,Investment ISA,3,12,6239.5,1,1,1,9,Organic,4,0
CUST-00085,25,Male,London,Current Account,38,13,2474.07,1,1,0,8,Paid Ads,5,0
CUST-00086,28,Female,Midlands,Current Account,14,9,614.33,1,1,0,15,Referral,4,0
CUST-00087,45,Female,Yorkshire,Crypto Wallet,42,17,5571.61,3,0,0,20,Paid Ads,5,0
CUST-00088,38,Female,South West,Investment ISA,13,16,3719.12,4,1,1,19,Referral,5,0
CUST-00089,28,Male,South West,Investment ISA,5,17,5296.75,2,1,0,8,Organic,5,0
CUST-00090,41,Male,South East,Current Account,4,21,1453.11,1,0,0,10,Paid Ads,5,0
CUST-00091,36,Female,London,Crypto Wallet,32,13,3719.55,2,0,0,16,Paid Ads,3,0
CUST-00092,46,Male,Scotland,Savings,20,17,18116.64,3,1,3,15,Organic,4,0
CUST-00093,26,Female,Yorkshire,Crypto Wallet,12,20,2220.93,4,1,1,15,Paid Ads,3,0
CUST-00094,31,Male,South East,Business Account,16,18,1120.61,1,0,4,9,Paid Ads,4,0
CUST-00095,30,Female,London,Business Account,19,14,11530.51,2,1,4,19,Organic,3,0
CUST-00096,18,Female,Yorkshire,Crypto Wallet,6,8,4026.01,2,1,2,5,Paid Ads,3,0
CUST-00097,38,Female,South East,Current Account,11,13,1053.02,2,0,1,5,Organic,5,0
CUST-00098,38,Male,London,Crypto Wallet,8,15,14503.6,2,1,2,14,Paid Ads,4,0
CUST-00099,35,Female,London,Current Account,11,10,426.62,2,0,1,11,Paid Ads,3,0
CUST-00100,32,Male,South East,Crypto Wallet,16,14,3411.81,1,0,0,4,Referral,3,0
CUST-00101,18,Female,Scotland,Current Account,4,20,7156.57,1,0,1,9,Organic,3,1
CUST-00102,29,Male,South East,Investment ISA,12,12,6542.63,2,0,1,13,Organic,3,0
CUST-00103,30,Male,London,Current Account,11,13,614.03,3,1,1,15,Referral,2,0
CUST-00104,25,Male,London,Crypto Wallet,8,16,408.02,1,0,3,9,Referral,5,0
CUST-00105,33,Male,South East,Current Account,120,16,2381.31,3,1,5,10,Organic,3,0
CUST-00106,39,Non-binary,Scotland,Savings,1,19,4212.02,1,0,1,11,Paid Ads,4,0
CUST-00107,57,Male,London,Crypto Wallet,24,12,495.94,1,0,1,19,Paid Ads,4,0
CUST-00108,37,Female,Midlands,Investment ISA,4,10,2597.07,4,1,2,11,Paid Ads,4,0
CUST-00109,38,Non-binary,London,Current Account,43,22,314.51,2,1,0,14,Organic,4,0
CUST-00110,34,Male,London,Savings,58,12,6457.6,3,1,2,8,Paid Ads,5,0
CUST-00111,18,Female,London,Current Account,12,12,910.93,2,1,1,12,Referral,3,0
CUST-00112,34,Male,London,Investment ISA,41,21,1485.0,1,0,1,12,Social Media,5,0
CUST-00113,35,Male,Scotland,Business Account,6,9,5100.94,2,0,1,8,Referral,5,0
CUST-00114,64,Male,North West,Investment ISA,3,16,4561.67,2,0,1,9,Organic,3,0
CUST-00115,32,Female,South West,Current Account,9,17,3193.06,3,1,2,10,Social Media,4,0
CUST-00116,38,Male,London,Savings,10,21,6219.09,2,1,3,12,Organic,3,0
CUST-00117,34,Female,London,Business Account,12,12,2953.82,3,0,3,7,Referral,4,0
CUST-00118,20,Female,South East,Current Account,11,11,10270.59,3,0,2,11,Organic,3,0
CUST-00119,48,Female,South West,Savings,12,14,232.07,3,1,1,5,Referral,3,0
CUST-00120,44,Male,South East,Savings,29,10,1683.31,2,0,1,6,Social Media,4,0
CUST-00121,44,Female,North West,Crypto Wallet,6,13,1599.62,1,0,2,11,Social Media,4,0
CUST-00122,24,Female,South East,Crypto Wallet,1,9,1390.24,3,0,3,10,Organic,4,0
CUST-00123,51,Female,London,Current Account,16,12,3284.32,1,1,2,14,Paid Ads,4,0
CUST-00124,18,Female,East of England,Investment ISA,14,6,2337.4,1,1,3,6,Paid Ads,5,0
CUST-00125,42,Female,Midlands,Savings,1,15,4864.82,1,1,1,15,Organic,1,0
CUST-00126,61,Male,South West,Current Account,3,24,436.75,1,0,1,14,Referral,5,0
CUST-00127,23,Male,Scotland,Current Account,17,18,28301.04,2,0,1,12,Paid Ads,5,0
CUST-00128,28,Male,Midlands,Savings,6,16,1130.97,4,0,0,13,Paid Ads,3,0
CUST-00129,36,Male,London,Current Account,50,19,2550.66,1,1,2,10,Referral,2,0
CUST-00130,28,Male,Scotland,Crypto Wallet,4,20,1411.64,3,1,4,15,Referral,5,0
CUST-00131,18,Male,London,Current Account,1,12,1992.77,1,0,1,8,Social Media,4,0
CUST-00132,35,Male,North West,Current Account,14,13,951.56,2,0,1,13,Paid Ads,4,0
CUST-00133,22,Non-binary,Scotland,Current Account,102,9,2314.53,3,1,2,15,Social Media,5,0
CUST-00134,40,Male,South West,Current Account,24,17,3626.84,3,0,1,10,Social Media,3,0
CUST-00135,23,Female,Yorkshire,Savings,10,25,101.28,1,0,3,11,Paid Ads,3,0
CUST-00136,53,Female,Scotland,Savings,1,20,1218.95,1,0,3,12,Organic,4,0
CUST-00137,25,Female,London,Investment ISA,15,14,1164.57,4,1,3,20,Organic,3,0
CUST-00138,31,Female,South East,Business Account,5,17,29298.22,1,1,1,10,Paid Ads,3,0
CUST-00139,44,Male,London,Crypto Wallet,25,14,5075.02,1,0,3,10,Paid Ads,4,0
CUST-00140,20,Male,Yorkshire,Current Account,20,14,10938.8,2,0,0,7,Social Media,4,0
CUST-00141,37,Male,Northern Ireland,Business Account,7,8,3532.42,3,0,2,15,Social Media,4,0
CUST-00142,50,Male,South East,Savings,1,10,1995.86,2,0,0,13,Social Media,4,0
CUST-00143,18,Female,London,Savings,33,14,2798.92,2,1,2,16,Referral,3,0
CUST-00144,37,Female,North West,Savings,21,15,6957.46,2,0,3,9,Organic,3,0
CUST-00145,38,Male,Wales,Current Account,44,13,14766.88,3,0,1,10,Paid Ads,2,0
CUST-00146,44,Male,Midlands,Crypto Wallet,7,15,2597.91,1,1,2,9,Social Media,1,0
CUST-00147,20,Male,London,Current Account,25,18,856.18,1,0,1,12,Paid Ads,5,0
CUST-00148,19,Male,Northern Ireland,Savings,3,14,5483.45,1,0,3,7,Referral,2,0
CUST-00149,41,Female,South West,Current Account,8,12,649.49,1,0,3,9,Referral,4,0
CUST-00150,38,Male,London,Crypto Wallet,25,11,2888.46,1,1,3,16,Social Media,3,0
CUST-00151,38,Female,East of England,Crypto Wallet,41,21,4095.22,3,0,2,11,Paid Ads,4,0
CUST-00152,39,Male,North West,Current Account,9,17,1588.12,3,1,1,11,Referral,4,0
CUST-00153,26,Male,North West,Investment ISA,38,15,610.46,3,0,4,11,Organic,5,0
CUST-00154,37,Female,North West,Investment ISA,27,14,1047.89,1,1,1,9,Paid Ads,2,0
CUST-00155,38,Female,South West,Savings,10,13,1236.82,2,0,4,19,Social Media,2,0
CUST-00156,26,Non-binary,Scotland,Investment ISA,50,20,510.65,2,0,5,11,Referral,5,0
CUST-00157,57,Female,London,Savings,17,17,1137.61,3,1,4,16,Paid Ads,5,0
CUST-00158,40,Male,Northern Ireland,Current Account,25,12,316.6,4,1,1,12,Referral,3,0
CUST-00159,20,Male,London,Investment ISA,16,21,3675.17,3,0,3,12,Organic,3,0
CUST-00160,42,Female,Yorkshire,Savings,14,19,2697.31,2,1,0,12,Social Media,5,0
CUST-00161,23,Female,Scotland,Savings,45,18,2487.01,2,0,1,16,Social Media,5,0
CUST-00162,44,Female,London,Crypto Wallet,8,8,1137.88,3,0,3,11,Referral,3,0
CUST-00163,48,Male,London,Current Account,1,10,1336.14,1,1,2,6,Paid Ads,4,0
CUST-00164,25,Non-binary,Wales,Current Account,50,12,668.65,1,1,2,6,Organic,3,0
CUST-00165,46,Male,North West,Current Account,41,13,3314.97,1,0,2,14,Social Media,4,0
CUST-00166,39,Female,Scotland,Current Account,10,16,354.46,3,0,3,2,Organic,4,0
CUST-00167,44,Female,Midlands,Current Account,4,17,1999.23,1,0,1,10,Social Media,3,0
CUST-00168,57,Male,Yorkshire,Business Account,27,11,845.19,1,0,1,13,Referral,2,0
CUST-00169,32,Female,North West,Current Account,1,21,14894.87,1,0,2,10,Organic,5,0
CUST-00170,25,Male,South East,Investment ISA,13,18,3402.07,2,0,1,18,Organic,4,0
CUST-00171,24,Non-binary,North West,Current Account,2,19,1807.08,2,1,3,14,Referral,4,0
CUST-00172,25,Male,Wales,Investment ISA,21,16,479.51,3,0,3,6,Social Media,5,0
CUST-00173,34,Female,North West,Business Account,1,13,352.05,2,0,1,13,Organic,1,0
CUST-00174,39,Male,London,Current Account,23,15,3277.91,4,1,4,11,Organic,4,0
CUST-00175,38,Female,East of England,Crypto Wallet,26,16,15655.14,1,1,1,11,Referral,1,0
CUST-00176,44,Female,South West,Business Account,16,22,2953.49,2,0,1,13,Referral,4,0
CUST-00177,35,Male,London,Savings,4,9,2231.32,2,0,2,6,Social Media,3,0
CUST-00178,52,Male,Northern Ireland,Current Account,2,14,2270.37,1,0,3,9,Social Media,5,0
CUST-00179,31,Female,Yorkshire,Investment ISA,9,15,2045.96,1,1,2,17,Referral,5,0
CUST-00180,67,Male,London,Crypto Wallet,15,16,2307.7,1,0,0,10,Organic,4,0
CUST-00181,42,Female,South East,Current Account,24,19,794.58,3,1,2,12,Referral,3,0
CUST-00182,24,Male,Yorkshire,Savings,1,24,562.12,1,1,3,11,Organic,3,0
CUST-00183,22,Female,South West,Current Account,29,13,2061.27,1,1,6,13,Organic,5,0
CUST-00184,40,Male,South East,Current Account,29,12,10851.96,2,0,1,16,Referral,3,0
CUST-00185,32,Male,South East,Crypto Wallet,14,13,4593.68,2,0,5,8,Paid Ads,5,0
CUST-00186,43,Male,South East,Savings,10,16,411.53,1,0,0,13,Referral,5,0
CUST-00187,40,Male,Scotland,Current Account,44,13,1331.12,4,1,1,13,Organic,4,0
CUST-00188,34,Male,London,Investment ISA,36,13,4336.38,1,0,0,12,Social Media,5,0
CUST-00189,24,Female,London,Current Account,98,18,11161.7,1,1,1,15,Paid Ads,5,0
CUST-00190,18,Female,Scotland,Current Account,11,13,15514.73,1,1,2,13,Social Media,3,0
CUST-00191,29,Female,South West,Savings,56,19,1404.08,1,1,2,9,Paid Ads,2,0
CUST-00192,45,Female,Midlands,Savings,2,16,4861.38,1,0,3,19,Organic,2,0
CUST-00193,37,Male,North West,Current Account,12,16,2438.47,2,1,3,10,Paid Ads,4,0
CUST-00194,20,Female,North West,Current Account,15,16,1566.07,3,1,4,10,Social Media,3,0
CUST-00195,37,Male,North West,Savings,13,16,1948.5,2,1,3,16,Referral,3,0
CUST-00196,39,Female,Northern Ireland,Crypto Wallet,23,5,1977.42,1,0,2,11,Organic,3,0
CUST-00197,24,Male,South West,Crypto Wallet,4,20,7407.12,4,1,3,14,Paid Ads,2,0
CUST-00198,36,Male,London,Current Account,48,12,335.17,1,1,2,9,Organic,3,0
CUST-00199,35,Male,North West,Savings,19,14,3170.91,2,0,1,10,Referral,3,0
CUST-00200,21,Female,Midlands,Crypto Wallet,56,12,11467.84,1,1,1,8,Paid Ads,2,0
CUST-00201,39,Male,Scotland,Savings,1,13,10078.35,1,0,1,14,Organic,1,0
CUST-00202,41,Female,North West,Business Account,23,11,3578.75,2,0,2,9,Social Media,2,1
CUST-00203,47,Male,South West,Business Account,12,15,728.9,2,0,3,15,Paid Ads,4,0
CUST-00204,47,Female,South West,Current Account,16,11,4592.29,2,0,3,10,Referral,4,0
CUST-00205,18,Female,Midlands,Current Account,32,19,8865.55,4,0,5,13,Referral,4,0
CUST-00206,23,Male,Wales,Current Account,6,12,974.41,1,1,3,11,Paid Ads,5,0
CUST-00207,41,Female,Yorkshire,Current Account,5,10,2777.02,3,0,2,9,Organic,4,0
CUST-00208,41,Female,South West,Business Account,29,11,1413.29,1,0,1,25,Referral,4,0
CUST-00209,41,Female,Northern Ireland,Business Account,17,12,865.42,2,0,0,17,Referral,5,0
CUST-00210,75,Female,South East,Current Account,6,10,1238.67,1,0,1,12,Social Media,4,0
CUST-00211,41,Female,South East,Savings,15,17,2109.56,4,1,0,17,Referral,4,0
CUST-00212,48,Female,Wales,Savings,14,11,600.71,3,0,1,11,Paid Ads,4,0
CUST-00213,46,Male,South West,Savings,28,15,493.47,2,1,3,9,Social Media,4,0
CUST-00214,42,Female,East of England,Investment ISA,1,7,621.71,4,0,0,15,Paid Ads,4,0
CUST-00215,31,Male,London,Business Account,21,17,2679.76,3,1,1,10,Organic,3,0
CUST-00216,44,Male,Scotland,Current Account,22,7,311.38,4,1,2,11,Paid Ads,4,0
CUST-00217,25,Female,London,Current Account,32,19,126.42,3,1,2,6,Organic,4,0
CUST-00218,32,Male,Midlands,Current Account,52,12,9386.28,1,1,2,11,Paid Ads,1,0
CUST-00219,29,Male,London,Savings,13,15,536.0,2,1,0,11,Social Media,4,0
CUST-00220,35,Female,London,Current Account,10,16,1432.52,4,1,2,12,Organic,4,0
CUST-00221,62,Female,London,Savings,2,15,5468.43,1,1,2,9,Paid Ads,3,0
CUST-00222,18,Female,Scotland,Savings,9,17,321.85,3,1,3,11,Referral,2,0
CUST-00223,43,Female,South East,Crypto Wallet,1,9,321.39,1,0,1,15,Organic,3,0
CUST-00224,18,Female,London,Savings,38,21,846.32,2,0,1,13,Paid Ads,4,0
CUST-00225,29,Male,South East,Current Account,39,8,5730.54,1,0,3,11,Social Media,2,0
CUST-00226,48,Male,London,Crypto Wallet,12,8,1761.68,1,1,4,17,Social Media,4,0
CUST-00227,35,Female,East of England,Crypto Wallet,7,15,1790.6,3,0,3,8,Organic,3,0
CUST-00228,22,Male,South East,Current Account,3,16,1268.38,1,0,2,13,Paid Ads,5,0
CUST-00229,26,Female,South East,Current Account,45,17,3549.5,1,1,2,18,Referral,5,0
CUST-00230,43,Female,South West,Crypto Wallet,50,17,10079.07,2,0,1,10,Social Media,2,0
CUST-00231,26,Male,Scotland,Current Account,7,14,64914.7,4,0,4,6,Referral,4,0
CUST-00232,37,Female,Yorkshire,Current Account,23,13,1513.68,1,0,2,9,Referral,5,0
CUST-00233,35,Female,Scotland,Savings,7,8,11283.96,1,1,0,13,Organic,5,0
CUST-00234,27,Male,East of England,Current Account,6,15,5997.62,1,0,4,8,Paid Ads,4,0
CUST-00235,60,Non-binary,London,Current Account,1,21,2490.88,1,0,0,10,Paid Ads,5,0
CUST-00236,42,Female,Northern Ireland,Savings,20,20,127.49,2,0,1,12,Paid Ads,5,0
CUST-00237,18,Male,South West,Crypto Wallet,3,12,1148.87,4,0,1,18,Organic,4,0
CUST-00238,37,Female,Midlands,Crypto Wallet,1,19,1204.82,2,0,1,19,Paid Ads,4,0
CUST-00239,27,Female,Scotland,Business Account,2,17,2780.99,1,1,1,8,Referral,1,0
CUST-00240,45,Female,Scotland,Current Account,9,11,1426.59,3,1,0,15,Paid Ads,4,0
CUST-00241,25,Female,London,Current Account,26,17,919.8,1,1,1,9,Organic,3,0
CUST-00242,33,Female,London,Crypto Wallet,5,15,20661.18,1,1,2,9,Organic,3,0
CUST-00243,41,Male,Northern Ireland,Savings,52,15,8689.0,2,0,0,16,Organic,2,0
CUST-00244,45,Female,Midlands,Current Account,8,14,159.59,1,1,2,14,Organic,4,0
CUST-00245,20,Female,North West,Current Account,9,13,1290.38,1,1,3,5,Social Media,4,0
CUST-00246,30,Male,South West,Current Account,5,16,3854.93,1,0,2,11,Referral,4,0
CUST-00247,29,Male,Midlands,Savings,7,20,8929.25,4,0,0,13,Referral,4,0
CUST-00248,27,Non-binary,London,Current Account,1,16,1092.29,1,0,2,4,Organic,5,0
CUST-00249,56,Female,Yorkshire,Business Account,8,13,1396.26,2,1,0,5,Organic,3,0
CUST-00250,39,Female,Yorkshire,Current Account,47,17,2025.84,1,0,0,10,Organic,3,0
CUST-00251,19,Female,London,Business Account,27,14,4000.67,1,1,0,7,Referral,5,0
CUST-00252,46,Female,Northern Ireland,Crypto Wallet,49,13,286.39,2,0,4,11,Referral,5,0
CUST-00253,60,Female,South East,Savings,2,22,161.02,3,0,1,8,Paid Ads,4,0
CUST-00254,47,Female,North West,Investment ISA,14,15,8147.45,1,0,4,12,Organic,4,0
CUST-00255,18,Male,London,Investment ISA,6,12,551.1,3,1,3,15,Paid Ads,2,0
CUST-00256,29,Female,Scotland,Current Account,30,14,23090.84,1,0,3,10,Paid Ads,4,0
CUST-00257,50,Female,North West,Current Account,84,14,641.44,1,1,1,13,Organic,4,0
CUST-00258,26,Female,South East,Savings,40,17,1448.16,1,1,0,18,Paid Ads,4,0
CUST-00259,40,Female,South West,Investment ISA,1,20,2813.88,2,0,1,10,Social Media,5,0
CUST-00260,44,Female,London,Savings,9,14,140.0,3,0,5,17,Social Media,5,0
CUST-00261,23,Male,South West,Savings,1,11,56233.59,1,1,0,14,Organic,5,0
CUST-00262,34,Male,Midlands,Savings,1,17,1125.52,2,1,4,13,Organic,2,0
CUST-00263,18,Male,Northern Ireland,Savings,1,21,661.02,3,0,1,10,Organic,3,0
CUST-00264,22,Male,Midlands,Savings,7,10,446.02,1,1,0,13,Referral,4,0
CUST-00265,31,Non-binary,London,Savings,8,18,2790.86,1,0,4,14,Paid Ads,2,0
CUST-00266,20,Male,London,Crypto Wallet,12,20,2563.23,1,0,2,17,Referral,5,0
CUST-00267,54,Male,Wales,Investment ISA,12,7,464.45,1,0,4,13,Organic,4,0
CUST-00268,18,Female,Wales,Investment ISA,35,17,348.51,3,1,2,10,Referral,4,0
CUST-00269,29,Female,South East,Savings,3,16,6414.44,3,0,0,11,Paid Ads,2,0
CUST-00270,36,Male,Scotland,Investment ISA,4,16,823.16,3,1,2,15,Referral,1,0
CUST-00271,52,Female,Midlands,Savings,23,17,229.24,1,0,2,11,Social Media,4,0
CUST-00272,18,Female,Northern Ireland,Current Account,20,18,1513.97,1,0,2,8,Social Media,3,0
CUST-00273,48,Male,East of England,Business Account,4,15,1116.47,3,1,2,14,Referral,5,0
CUST-00274,35,Male,Northern Ireland,Current Account,45,19,18770.39,4,1,1,15,Organic,1,0
CUST-00275,23,Female,Wales,Savings,9,18,966.21,2,0,2,18,Social Media,3,0
CUST-00276,40,Female,East of England,Current Account,10,18,1249.04,1,1,2,9,Paid Ads,5,0
CUST-00277,37,Female,London,Current Account,13,17,2352.77,1,1,3,10,Paid Ads,1,0
CUST-00278,27,Male,South West,Crypto Wallet,9,11,911.38,3,1,2,12,Organic,3,0
CUST-00279,35,Male,Yorkshire,Savings,19,12,3069.13,1,0,2,8,Social Media,4,0
CUST-00280,30,Female,Northern Ireland,Crypto Wallet,11,10,533.66,1,1,5,10,Social Media,4,0
CUST-00281,36,Male,Midlands,Current Account,7,15,1356.72,2,1,2,12,Social Media,3,0
CUST-00282,42,Male,London,Current Account,56,13,2945.92,1,1,1,15,Paid Ads,5,0
CUST-00283,54,Female,Scotland,Current Account,8,13,7080.96,1,0,1,8,Social Media,4,0
CUST-00284,20,Male,Yorkshire,Investment ISA,28,18,894.78,1,0,2,14,Referral,4,0
CUST-00285,60,Female,South East,Crypto Wallet,10,18,882.05,4,0,3,10,Paid Ads,4,0
CUST-00286,18,Female,North West,Savings,13,19,11492.82,1,1,4,7,Social Media,1,0
CUST-00287,33,Male,Scotland,Savings,6,18,932.45,4,0,3,14,Paid Ads,1,0
CUST-00288,42,Female,North West,Business Account,33,11,1689.03,1,0,2,13,Referral,5,0
CUST-00289,38,Male,North West,Current Account,32,10,14119.38,3,1,2,18,Social Media,3,0
CUST-00290,27,Female,London,Savings,1,18,1960.49,4,0,2,20,Referral,5,0
CUST-00291,32,Male,East of England,Savings,1,21,1343.04,2,0,1,11,Social Media,3,0
CUST-00292,29,Male,Yorkshire,Current Account,61,14,1468.81,3,1,2,18,Paid Ads,4,0
